ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-42025607_1049555;https://vk.com/club42025607?w=wall-42025607_1049555;https://vk.com/club42025607;https://vk.com/club42025607;2024-06-03 01:15;10 десертов с КЛУБНИКОЙ без выпекания!  1. КЛУБНИЧНЫЙ ДЕСЕРТ  Ингредиенты:  ▪ 3 ст. л. желатина + 1 ст. воды, ▪ 0,5 л. сметаны + 1 ст. сахара + ванилин, ▪ клубника (можно банан или киви)  Приготовление:  Желатин залить водой и отставить. Сметану смешать с сахаром и ванилином (именно смешивать, а не взбивать, тогда нежнее и воздушнее получится). Желатин поставить на огонь и постоянно помешивать до однородной массы (до кипения не доводить). Затем влить туда тонкой струйкой сметану, тщательно помешивая.  В форме (выложить пищевой пленкой, если будете выкладывать) разложить клубнику и залить желейной массой. До остывания и в холодильник.  2. Йогуртовый торт без выпечки  Ингредиенты:  Натуральный йогурт – 350 г Молоко – 300 мл Какао-порошок – 1 ст. л. Желатин – 40 г Лимонный сок – 1 ст. л. Сахар – 6 ст. л. Клубника (свежая или замороженная) – 200-250 г  Приготовление:  1. Залейте желатин (оставьте 5-10 г на клубничное пюре) молоком, оставьте минут на 15 2. Поставьте на слабый огонь и нагревайте, помешивая.Молоку нельзя дать закипеть 3. Когда желатин растворится, снимите с огня и дайте остыть 4. В глубокую посуду вылейте йогурт, добавьте сахар (3-4 ст. ложки), сок лимона 5. Всё это взбейте миксером, как можно дольше 6. В получившуюся смесь тонкой струйкой влейте молоко с желатином, затем еще раз тщательно взбейте 7. Отлейте в отдельную ёмкость 3-ю часть смеси и добавьте туда какао-порошок, перемешайте 8. Эту смесь с какао вылейте в специальную форму, которая снимается, и погрузите в морозильник на 12 минут, затем выньте и туда же вылейте оставшуюся смесь до конца 9. Поставьте в морозилку. Тем временем, приготовьте из клубники пюре: смешайте в блендере клубнику с сахаром. 10. Возьмите 50 г воды, добавьте оставшийся желатин и оставьте на 10 минут.Нагрейте на медленном огне, помешивая. Остудите и влейте в клубничное пюре. Хорошенько перемешайте и вылейте его в застывшую йогуртовую смесь последним слоем. 11. Отправляем в морозилку ,)  3. ДЕСЕРТНЫЕ ШАРИКИ С КЛУБНИКОЙ   Ингредиенты:  ● 200 г печенье (сухое) ● 90 г масло сливочное ● 150 г творог (домашний) ● 150 г клубника ● 20 г кокосовая стружка ● 2 ст.л. сахарная пудра  Приготовление:  Предлагаю рецепт десертных шариков с клубникой. Готовятся они довольно быстро и совсем не сложно. А в результате получаются очень вкусные и нежные шарики, в которых сочетается сладость с приятной кислинкой клубники. Печенье (у меня детское) поломать на кусочки и поместить в блендер.  Измельчить печенье в крошку.Переложить крошку в другую емкость. Сливочное масло растопить и добавить в крошку. Хорошо перемешать.Далее добавить творог (у меня домашний) и сахарную пудру. Хорошо вымесить тесто, желательно руками.Свежую клубнику почистить, помыть.  От теста отщипывать небольшой кусочек, скатать в шарик, примерно величиной с грецкий орех, размять его в лепешку. В серединку лепешки положить ягодку клубнички.Аккуратно облепить ягодку тестом и скатать в шарик. Таким образом, делать шарики, пока не закончится тесто. Тесто не липнет к рукам, с ним очень приятно работать.Каждый шарик обвалять в кокосовой стружке, выложить на блюдо и убрать в холодильник на 20 минут, для застывания.Готовые шарики украсить по желанию и можно подавать к столу. Так шарики выглядят в разрезе.   4. Творожно-фруктовый десерт (вкусно и легко)  Ингредиенты:  - 500 г - творог нежирный мягкий - 300 г - маложирная сметана - сахарный песок или стевия - по-вкусу - 30 г - желатин (лучше быстрорастворимый) - любые фрукты (тут использованы клубника и бананы) + форма, примерно 26 см (около 300 г)  Приготовление:  1. Творог смешать с сахаром или стевией. 2. Сметану смешать с сахаром или стевией. Фрукты промыть и выложить на дно формы . 3. Подготовить желатин (согласно инструкции на упаковке). Соединить творог+сметана и перемешать. Получается жидкая масса. 4. Влить тонкой струйкой желатин в творожно-сметанную массу. Перемешать. Получившейся смесью покрываем все фрукты (равномерно). 5. Отправляем в холодильник (на 1-2 часа). 6. Достать, разрезать на порционные куски и сервировать фруктами.  5. Тортик на десерт. Легкий и вкусный!  Ингредиенты: - 0,5 л сметаны - 1 стакан сахара - 1 пакетик желатина (25 гр) - 0,5 стакана холодной воды - 300 гр бисквита - клубника - киви  Приготовление: 1. Бисквит можно купить готовый или испечь самостоятельно. 2. Для начала желатин зальем водой и оставим для набухания. Пока будем заниматься приготовлением остальных компонентов, он как раз набухнет. 3. Фрукты вымоем, почистим и нарежем. Бисквит нарежем небольшими кусочками. Сметану смешаем с сахаром и взобьем миксером. 4. Набухший желатин подогреем на водяной бане, не доводя до кипения. И выльем в сметанный крем, размешаем. Глубокую посуду выстелить пищевой плёнкой. 5. На дно высыпать немного ягод. Сверху выложить кусочки бисквита. Залить кремом. И дальше укладываем слоями.  6. Сверху еще прикроем плёнкой и отправим в холодильник. Часа через три торт готов.  6. КЛУБНИЧНОЕ ТИРАМИСУ  В этом десерте я соединила то, что любит мой сынуля – его любимый тирамису и клубнику. Ну, правда, “тирамису” это можно назвать с натяжкой, поскольку ни яиц, ни кофейной пропитки я не использовала, так что правильнее будет назвать это десертом в стиле тирамису.  сыр “маскарпоне – 250г сливки 35% – 200мл клубника – 400г сахарный песок – 150г бисквитное печенье савоярди (“дамские пальчики”) – 20 шт.  Маскарпоне взбить со 100г сахара, добавить взбитые до густого тягучего состояния сливки и взбить еще раз. 100г клубники измельчить блендером с 50 г сахарного песка. В прямоугольную форму выложить слой бискитного печенья и залить половиной протертой с сахаром клубники. Поверх равномерно распределить половину сливочно-сырной массы. Выложить второй слой бисквитов и залить их оставшейся протертой клубникой , поверх нее выложить оставшуюся сырную массу, разровнять поверхность лопаткой. Оставшиеся ягоды клубники разрезать вдоль на 3-4 пластины и выложить ими поверхность десерта. Поставить в холодильник для пропитки и застывания на несколько часов.  7.Панна котта с клубникой.  Панна котта буквально тает во рту, а клубника отлично подчеркивает нежный вкус сливок.   Вам потребуется:  400 мл. 20% сливок 0.5 ст. ложки быстрорастворимого желатина 3 ст. ложки сахара 1 пакетик (10 гр.) ванильного сахара 100 гр. клубники 2 ч. ложки сахарной пудры  Как готовить:  1. Желатин залить 2-3 ст. ложки холодной воды, дать набухнуть минут 5, затем поставить в миску с горячей водой и помешивать пока он не растает.  2. Сливки смешать с сахаром и ванильным сахаром, нагревать помешивая пока сахар не растает, если смесь негрелась до чуть теплого то добавить желатин и перемешать, разлить по формочкам, если же сливки нагрелись слишком сильно то их нужно остудить.  3. Поставить формочки со сливками на ночь в холодильник или на 4-5 часов.  4. Клубнику порезать маленькими кубиками, смешать с сахарной пудрой, выложить на застывшую панна котту, верх полить образовавшимся соком.  8. САЛАТ «ФРУКТОВЫЙ РАЙ»  Ингредиенты:  Клубника свежая – 100 грамм, Бананы – 1 шт, Киви – 1 шт, Ананасы в сиропе – 100 грамм, Апельсины – 1 шт, Йогурт клубничный – 150 грамм, Миндаль – 30 грамм.  Фруктовые салаты созданы для праздника, поэтому и подавать их нужно соответственно. Лучше всего смотрятся они в объёмных прозрачных фужерах, которые обязательно надо украсить изящным ободком. Сначала края фужера опускают на определённую глубину в яичный белок, а затем сразу же погружают в сахарный песок. Фужеры слегка встряхивают, чтобы удалить лишний сахар, после чего сушат. Приготовьте такой салат и получите райское наслаждение!  Для приготовления салата нужно взять свежую клубнику, крупный плод киви «бабочка», банан, апельсин, консервированные ананасы без сиропа, миндаль и клубничный йогурт. Банан очистить от кожуры, разрезать вдоль пополам, а затем тонко нарезать поперёк. Плод киви очистить от кожицы и мелко нарезать Кольца ананасов вынуть из сиропа и нарезать на кусочки. Апельсин очистить, разделить на дольки, снять с них белую кожицу и измельчить. Клубнику тщательно вымыть в проточной воде, обсушить, а затем каждую ягодку разрезать на несколько частей. Соединить все фрукты. Смесь перемешать. Разложить фрукты в бокалы. Миндаль залить на 10 минут кипятком. С ядер снять кожицу, слегка подрумянить их в духовке и мелко порубить. Залить фрукты йогуртом и посыпать миндалём. Украсить салат миндальной крошкой  9. Фрукты в зефирном креме  Нежный, кисло-сладкий десерт.  Ингредиенты: - 2 зефира (по 70 гр) - 200 гр сливок 10%-20% - 200 гр клубники - 200 гр киви - шоколад  Зефир поломать на кусочки, положить в блендер, влить сливки.  Тщательно взбить до однородной массы.  Клубнику порезать на четвертинки (если крупная – то порезать мельче).  Киви почистить, порезать кубиками.  В креманку или чашку выложить клубнику в один слой.  Полить кремом так, чтобы полностью покрыть клубнику.  Сверху выложить киви в один слой.  Полить кремом, полностью закрыв киви.  Посыпать натертым на терке шоколадом.  Десерт можно сразу подавать, а можно поставить на час в холодильник для охлаждения. Будет вкусно в любом случае.  10. «Прохладная радуга»   Состав на 5-6 порций:  — 2 банана — 300 гр. клубники — 3 киви — 300 гр. мороженого (пломбир) — Мята  Фрукты и ягоды хорошенько охладить. Измельчить по отдельности в блендере Размягчить мороженое.   Выложить слоями:  1 ряд- банан, 2 ряд — киви,  3 ряд- клубника,  4 ряд — мороженое. Украсить мятой.   ПРИЯТНОГО АППЕТИТА!;461;698;3;129472;;• Домашняя Кулинария •;3550736
https://vk.com/wall-207336222_46060;https://vk.com/club207336222?w=wall-207336222_46060;https://vk.com/club207336222;https://vk.com/club207336222;2024-06-03 00:51;"Друзья, есть Уснея Дубовая. Это такой лишайник, антисептик, приносит пользу лёгким, используется как детская присыпка-пубра, нужен женщинам, поможет с кишечником... да там сфер применения больше сотни. Является одним из самых мощных природных антибиотиков(!), обладающих антибактериальным, противовоспалительным, противовирусным и обезболивающим свойствами. В общем, теперь могу отправлять.  Подробнее. что это за зверь такой, Уснея дубовая?  Это зверский антисептик, лечит и применяется при лечении таких тяжёлых вещей, как сепсис, туберкулез, кандидоз, применяется при лечении даже венерических заболеваний, заражение крови, гнойных ранах.   —------------------------------------------------------------------------------------ Некоторые способы применения уснеи.    - как противомикробное средство, 1 ч. ложку измельченного лишайника, залить 1 ст. кипятка, час настоять, процедить. Пить 3 раза в день по трети стакана, через 1 час после еды.  - при простуде, бронхите, пневмонии, измельчить 1/5 стакана лекарственного сырья, залить 1 стаканом кипящего молока, укутать настоять15-20 минут. Выпить горячим, всё за один раз.    - для регулировки деятельности желудочно-кишечного тракта и повышении аппетита, активации иммунной системы организма, добавляют щепотку лишайника в обычный чай и пьют по одной чашке раз в день.    - при дисбактериозе, колите, язве желудка, измельченного мха 20 грамм залить пол литром хорошей водки, настаивать 2 недели в темном месте, периодически взбалтывая. Употреблять 3 раза в день за 15 минут до еды по 1 ст. ложке. Пить месяц, далее двух недельный перерыв и курс повторить.    - при фурункулах, ранах, ожогах, грибковых инфекциях, трещинах, язв, растение применяется в виде компрессов, примочек - 3 ч. ложки измельченного сырья залить стаканом кипятка, 2 часа настаивать, процедить. Пропитать салфетку полученным настоем и приложить к больному месту, поверх наложить полиэтилен и закрепить бинтом. Каждые 3 часа компресс менять на новый.    - при эндометриозе, белях, эрозии шейки матки, инфекциях мочевого тракта, делают спринцевания, 2 ч. ложки измельченного лишайника на стакан кипятка, 2 часа настаивать, процедить. Спринцеваться два раза в день теплым настоем  -------------------------------------------------------------------------------------- Заваривать и пить можно отдельно от травяные чаев. Вкус сухой, специфический. Можно делать ингаляции или кремовый смеси и вытяжки. (кстати, посоветуйте, если есть специалисты). Вообще его применяют при ранениях, гнойных планах, в качестве пудры использовали в древнем Египте. Можно делать подушки-думки.    Я делал ингаляции, отхаркивающий эффект очень ощутимый. Солодка отдыхает. Ещё, если заварить Мох Дубовый в чай, то чай не проникает на солнце неделями (специально проверял).    Вообще из Дубовой Уснеи делают вытяжку ""резиноид дубового мха"". Применяется в парфюмерии. 1 кг стоит 800 евро. Стоил...) .... что там у нас с компонентами?    Ну да ладно. В общем кто хочет приобрести пишите. Отправлю от 1кг. Стоит 1500р. Килограмм думаю хватит, если конечно не делать думку-подушку. Собирать и перекладывать его требует много времени, но цена у нас все равно в 2-3 раза ниже рынка. И да, забыл. Может этот гипоаллергенный. Аллергии на него быть не может. А на фото кошка Бурбышка.   Старый Торбинс Мохноступ  ХИЖИНА ХОББИТА";249;160;12;12955;;ХИЖИНА ХОББИТА;10315
https://vk.com/wall-159591210_16262;https://vk.com/club159591210?w=wall-159591210_16262;https://vk.com/club159591210;https://vk.com/club159591210;2024-06-03 12:50;Дети не зарабатывают   Пока вы выбираете быть ребёнком в теле взрослого, вам это так или иначе выгодно. Признайтесь себе, что находиться в детской инфантильной позиции — удобно. Ну правда ведь! Какие у этого положения есть вторичные выгоды, то есть бессознательные «бонусы»?  👍🏻 Всегда можно прибежать к маме с папой. В родительском доме и покормят, и обогреют, и попу помоют, и денег на мороженое дадут. Ну благодать!   👍🏻 Можно жить по готовому сценарию, не парясь о собственных целях и потребностях. Например, повторять судьбу значимого взрослого из семьи или наоборот жить ему вопреки.   👍🏻 Можно обвинять в своих проблемах других и ничего не менять в своей жизни.  👍🏻 Можно бесконечно ныть и жаловаться. На начальника-тирана, который платит копейки и заставляет работать по выходным. На мужа, который хоть бы раз за собой тарелку помыл. Да найдётся повод! Лишь бы вызвать чувство сожаления и обратить на себя внимание. Прям как в детстве…  Общее у всех примеров одно — нежелание лишний раз брать на себя ответственность.  Теперь к минусам инфантильной позиции. Личностно незрелые люди не умеют добиваться желаемого, общаться на равных, строить здоровые отношения с партнёром и принимать решения независимо от авторитетных взрослых.  А ещё дети не зарабатывают деньги.   Слышу ваш возмущённый голос: «Вообще-то мне 25-го числа каждого месяца падает денежка на карту! Я зарабатываю!» 😤 Но не торопитесь топать ножкой. Внутренних конфликтов, связанных с финансами, может быть целая ложка с горкой. И большинство из них как раз из-за инфантильных установок.  Вспомните, ведь ребёнок на самом деле не умеет распоряжаться финансами: планировать, контролировать доходы и расходы. Захотел мороженое — попросил маму купить.   А если мамы нет рядом? Когда что-то идёт не так, то ребёнок ждёт, когда придёт кто-то более взрослый и решит проблему. Иногда этому «ребёнку» 30-40-50 лет, а он всё ждёт и ждёт. Потому что деньги — это ресурс взрослых. Тех, кто умеет брать на себя ответственность. А ответственность — это страшно.  В структуре нашей личности есть три роли — ребёнок, родитель и взрослый. И только тогда, когда вы сумеете выстроить гармоничные отношения со всеми своими «Я», получится обрести финансовую независимость.   Сегодня комментарии — место для вашей рефлексии. Можно просто порассуждать по теме, а можно в чём-то признаться. В первую очередь самому себе.     — Доктор, я хочу быть взрослой, что мне принимать? — Решения.;275;123;16;11679;;Лина Дианова. Психолог без цензуры;45600
https://vk.com/wall-209525066_58069;https://vk.com/club209525066?w=wall-209525066_58069;https://vk.com/club209525066;https://vk.com/club209525066;2024-06-03 16:08;Народные средства от комаров 🦟  ⠀  1⃣Можжевельник  ⠀  Если вы хотите посидеть в уютной компании у костра, киньте в огонь пару веток можжевельника. Или капните пару капель можжевелового масла. Дым отпугнёт комаров и мошек  ⠀  2⃣Ванилин  ⠀  Ванилин — одно из самых эффективных средств от насекомых  Просто нанесите порошок на кожу. Или смешайте 1 г ванилина и 10 г детского крема  ⠀  3⃣Эфирные масла  ⠀  Чтобы отбить естественный запах тела, можно использовать эфирные масла. Подойдут гвоздика, анис, апельсин, кедр, лаванда, чайное дерево, герань, мята, тимьян.  Просто смешайте 7–8 капель эфирного масла с 1 столовой ложкой растительного и нанесите на кожу  ⠀  Также можно обработать эфирным маслом одежду и палатку или налить несколько капель в костёр  ⠀  4⃣Лимон и эвкалипт    Самым эффективным средством от комаров многие считают сочетание лимона и эвкалипта. Смешайте 10 мл эвкалиптового масла с соком одного лимона. Наносите на открытые участки тела, и комары вас не тронут  ⠀  5⃣Чеснок  ⠀  Чеснок — средство очень эффективное, но не очень приятное. Возьмите 5–6 зубчиков чеснока, раздавите, прокипятите в стакане воды 5–6 минут. Перелейте чесночную воду в пульверизатор и обработайте вещи или палатку  ⠀  6⃣Герань и лаванда  ⠀  Наполните литровую бутылку водой. Добавьте по 30 капель масел герани и лаванды и хорошо встряхните. Наносите на кожу каждый час  ⠀  7⃣Спиртовой раствор  ⠀  Запах спирта комарам тоже не нравится, поэтому можно сделать репеллент на его основе. Наполните бутылочку спиртом на ¾, добавьте 50 капель эфирного масла (подойдут лаванда, эвкалипт, лемонграсс) и долейте воду доверху. Перед использованием хорошо встряхните  ⠀  8⃣Гвоздика  ⠀  Отличным средством будет гвоздика. Залейте 5 г специи стаканом воды и прокипятите 15 минут. Понемногу смешивайте раствор с одеколоном в пропорции 1 : 1 и наносите на открытые участки кожи  ⠀  9⃣Базилик и полынь  ⠀  Не любите ничем мазаться — возьмите с собой веточку базилика или полыни. Комары ужасно боятся этих запахов  ⠀  1⃣0⃣Мазь с чёрным перцем  ⠀  Налейте в баночку по 6 капель масла чёрного перца, мяты, цитронеллы, лаванды и нима. Смешайте с любым увлажняющим кремом в пропорции 1 : 2.  Без вашей поддержки нету желания писать эти статьи, я каждый день тружусь для вас, поддержите ниже, я очень благодарна каждому классу и комментарию, для меня это большая мотивация трудиться и дальше;19;39;0;10016;;Дачные будни;202242
https://vk.com/wall-35422673_328181;https://vk.com/club35422673?w=wall-35422673_328181;https://vk.com/club35422673;https://vk.com/club35422673;2024-06-03 04:18;"Добрый день. Очень щепетильный вопрос про детский сад и воспитателей. Что делать, если ребенок говорит, что его бьет воспитатель?   Дочери почти 4 года, у неё рас (Аспергер предположительно), в марте-апреле по рекомендации психиатров начали ходить в обычный сад.   Влилась моментально. Я предполагала длинную адаптацию из-за особенностей, но её не было совсем. В первый день после прогулки сама попросилась в группу, отправила меня погулять. С каждым днем мягко наращивали время, ей очень нравилось, просилась в сад, уходить не хотела.   Примерно через месяц внезапно начала очень часто болеть. Буквально три дня в саду, две недели дома. Я предположила, что это адаптация.   С последнего больничного выйти не успели - объявили, что в садике перерыв на ремонт на месяц. Где-то в середине этого месячного перерыва дочь вдруг внезапно мне сказала, что её тётя воспитательница по попе шлепала, когда дочь в ложке супа булькала. Я приняла к сведению, уточнила правда ли, что и как, пообещала поговорить с воспитателем. После этого ребенок несколько раз так же случайно в разные дни рассказывала мне одно и то же, на вопросы отвечала одно и то же, даже в сказку про эмоции грусти и обиды это ввернула, буквально дословно.   Первый день выхода в сад - жуткая истерика, мама не уходи. Я у воспитателя спросила спокойно, было ли, если нет, в какую сторону копать, потому что в семье мы её физически не наказывает совсем, откуда могла узнать что шлепают именно по попе. В сердцах даже на одну из строгих бабушек подумала. В итоге воспитатель попыталась завести за руку упирающегося ребенка (что тоже было звоночком для меня), я попросила так не делать.  В следующий день повторение первого, только в ещё большем масштабе. Взяли выходной на среду, подумала, может слишком долгий перерыв в саду был или ей внимания моего не хватило. Отдохнули.  В четверг с огромным трудом уговорила её сходить в сад, успокаивала, а ребенок плакал почти взрослыми тихими слезами. Уговорила, успокоила. По словам воспитательницы - совсем другой ребенок, не хулиганила абсолютно.  В пятницу сама зашла в сад, после сада говорит - день плохой, воспитательница опять по попе шлепала.   Поговорила с ней. Оказалось, что в саду есть мальчик, который всех обижает, мальчик толкнул мою дочь, она ответила. Воспитатель шлепнула обоих. Спросила может кого-то ещё? Да, говорит, девочку в платье. Спрашиваю, а больше в других случаях воспитатель не стукает? Стукает, когда плачу, когда спать не хочу ложиться.  Дочь недавно на прогулке ускакала раньше всех на площадку. Воспитатель об этом доложила с улыбкой, что вот просто убежала и всё. Я спросила дочь, не стукала ли её воспитатель когда она убежала? Говорит нет, только за ушко дернула больно, я заплакала.  Спросила ""а вчера (в четверг, когда хорошо себя вела) она стукала?"". Говорит нет, только сегодня. Похожее она рассказала и бабушке в другое время.   Воспитатель знает о диагнозе и особенностях.  Знаю, что ребенок может немного преувеличить (например если она кусается, а я резко убираю её, может пожаловаться, что я ее стукнула, то есть восприятие может быть чуть усиленно), но не врала ни разу. Пару раз жаловалась на одну из бабушек, что ругается как-то особенно, что-то говорит или не дает, всё оказалось правдой.   Если первый раз я могла списать всё на приснилось, придумала, перепутала, надо поговорить с воспитателем, то сейчас понимаю, что второй раз никак игнорировать нельзя. Слишком много подробностей которые ребенок вряд ли смог бы намеренно выдумать, запомнить, и ещё так четко повторить.  Воспитатель с виду очень хорошая, мне вроде понравилась, но сейчас понимаю, что могу очень сильно ошибаться, а она очень сильно лицемерить.  Приняла решение с сегодняшнего дня не ходить в сад, взять отпуск, сводить к психологу для уточнения всего произошедшего и работы с этим если правда было, поспрашивать у родителей было ли у них такое, потом идти к заведующей и выше.   Собственно Вопрос: как лучше действовать в такой ситуации? Как лучше для ребенка? Как с юридической точки зрения решить вопрос, чтобы можно было спустя время перевестись в другой сад? Можно ли забрать документы и не стоять ещё 2 года в очереди? Или только заявление на отпуск бесконечный? Нужны ли доказательства для дисциплинарных мер к воспитателю, или достаточно свидетельств детей и заключения психолога? Делают ли вообще психологи такие заключения?   Если кто-то был в такой ситуации, поделитесь пожалуйста. Я просто в шоке от таких историй, не очень понятно что предпринимать. Не хочется ребенку навредить, не хочется, чтобы навредили другим детям. Но и оклеветать человека тоже не хочу, если вдруг все придумано (хотя я очень-очень сомневаюсь в этом).  Надеюсь на ваше понимание.";22;12;46;9067;;Детская психология и психология родительства;83826
https://vk.com/wall-73667968_695180;https://vk.com/club73667968?w=wall-73667968_695180;https://vk.com/club73667968;https://vk.com/club73667968;2024-06-03 11:54;Всем привет!  Поступило предложение от соратников по увлечению, выехать в соседний регион на рыбалку. Приехали на место, обустройство лагеря подготовка мест для рыбалки. Промер дистанции, выбрал дистанцию на 30 метрах.  Замес прикормки, как  всегда использую прикорм Дунаев. В этот раз состав такой: 1 пачка  DUNAEV Fadeev Carp Classic, пачка DUNАЕV Премиум Лещ и пачка DUNAEV Inert Feeder Лещ и в качестве крупной фракции смесь зерновых. Из снастей  по-прежнему использовал Волжанка Оптима 90+ и  Zemex Rampage до 110 гр.поводок 60см. Тим Дунаев 0.1 и 0,12 крючки owner 53117 N12, Дунаев Премиум 109 N 12  Стартовый закорм из 10 кормушек, вешаю  поводок в качестве насадки использовал микс опарыша, червя и мотыля. Прошло немного времени и вот она первая поклёвка, это оказался голавль приличного размера. Но постепенно и другие виды рыб стали отзываться на прикормку и наживку. В улове присутствовали: уклейка, ёрш, голавль, плотва, язь ну и конечно же лещики.  Сезон летней рыбалки открыт,  попался первый трофей этого сезона. В хорошей компании и за любимым увлечением время пролетело незаметно. Немного удалось подловить. Вся рыба вернулась в родную стихию после фотосессии. Всем НХНЧ! #DUNAEV #DUNAEVMEDIA #ДУНАЕВ_ОРЕНБУРЖЬЕ;115;23;12;7690;;Рыбалка в Оренбурге и области;38900
https://vk.com/wall-77353136_130611;https://vk.com/club77353136?w=wall-77353136_130611;https://vk.com/club77353136;https://vk.com/club77353136;2024-06-03 18:08;"Мамина домашняя горчица с мёдом. Рецепт из кавказского советского санатория Мама у меня была почитателем и фанатом горчицы. У нас она всегда была в доме. Не помню ни одного обеда или ужина без горчицы. Мама каждый год ездила на курорты в разные уголки нашей тогда огромной страны и привозила рецепты всяких приправ, сами приправы и новенький рецепт горчицы обязательно. Причём делились рецептами, по её словам, не только соседки по лечению, но и девочки ""с кухни"". Мама могла найти общий язык и ""задружиться"" с любым интересным человеком. Этот рецепт из её кулинарной записной книжки. Он очень простой, вкусный, подходит для приготовления соусов и заправок, домашних детских хот-догов и гамбургеров. Готовится очень легко. Что потребуется: 3-4 ст. л. горчичного порошка (около 50 гр.) 3-4 ст. л. холодной воды 1/2 ч. л. соли 2-3 ст. л. мёда 1 ст. л. лимонного сока (можно заменить слабым фруктовым уксусом) 1 ст. л. растительного масла мускатный орех, сухой порошок имбиря или корица по желанию или вкусу Горчичного порошка и воды беру равное количество: если 3 ложки горчицы, то и воды 3 ложки. В горчицу добавляю соль, перемешиваю и добавляю воду. Размешиваю тщательно до получения густой, однородной массы. Если добавить горячей воды, то готовая горчица будет более горькой, нежели приготовленная на холодной воде. В массу добавляю мёд, лимонный сок, любые специи по вкусу и желанию (я взяла мускатный орех) и растительное масло. Очень тщательно размешиваю горчичную массу до полной однородности. Готовую горчицу перекладываю в банку, герметично укупориваю, ставлю на сутки в тёплое место, затем убираю в холодильник. Горчица прекрасно хранится в холодильнике до полугода, но остроту теряет, конечно. Если Вам покажется, что сладости недостаточно, то количество меда можно увеличить или добавить немного сахара. Из этого количества продуктов (я брала 4 ст. л. горчичного порошка) получается полная баночка объёмом 250 граммов вкусной, пикантной горчицы без консервантов и прочих химических добавок. Наша родная горчица намного острее той, которая растёт и культивируется в Европе. Если Вам встретится импортный горчичный порошок, то приготовленная из него горчица будет в разы мягче, даже по такому же рецепту.";59;30;0;7143;;Домашние заготовки и консервация - рецепты впрок;341256
