ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-117728599_416250;https://vk.com/club117728599?w=wall-117728599_416250;https://vk.com/club117728599;https://vk.com/club117728599;2024-04-27 10:37;Д21. Дала в попу за 10к парню с сайта знакомств. Я очень пошлая девочка с подросткового возраста, всегда любила пошлые переписки, но до секса с парнем никогда не доходило. Лишила девственности себя случайно в ванной зубной щёткой, но продолжаю всем говорить, что девочка. Написал мне как-то парень, внешка у него мечта, очень воспитанный по переписке, предложил встретиться и сразу сказал, что рассчитывает на продолжение. Встретились в кафе, пообщались и он предложил покататься, выехали за город, минут 15 ехали молча и он достаёт пачку денег и говорит, что готов дать мне 50к, если я отсосу ему в машине и на заднем сиденье дам в попу, типа не хочет лишать девственности. Отказалась, ведь думала, что это проверка, а он свернул с дороги, вытащил меня из машины и отвёл по глубже в лес, привязал руки к дереву, задрал платье и срезал трусики, запихнул мне их в рот и начал[https://vk.com/invite/ZiWUNYw|...читaть дaлeе];2;4;0;12769;;Грязный Юмор;843208
https://vk.com/wall-137800201_271156;https://vk.com/club137800201?w=wall-137800201_271156;https://vk.com/club137800201;https://vk.com/club137800201;2024-04-27 08:14;Д21. Дала в попу за 10к парню с сайта знакомств. Я очень пошлая девочка с подросткового возраста, всегда любила пошлые переписки, но до секса с парнем никогда не доходило. Лишила девственности себя случайно в ванной зубной щёткой, но продолжаю всем говорить, что девочка. Написал мне как-то парень, внешка у него мечта, очень воспитанный по переписке, предложил встретиться и сразу сказал, что рассчитывает на продолжение. Встретились в кафе, пообщались и он предложил покататься, выехали за город, минут 15 ехали молча и он достаёт пачку денег и говорит, что готов дать мне 50к, если я отсосу ему в машине и на заднем сиденье дам в попу, типа не хочет лишать девственности. Отказалась, ведь думала, что это проверка, а он свернул с дороги, вытащил меня из машины и отвёл по глубже в лес, привязал руки к дереву, задрал платье и срезал трусики, запихнул мне их в рот и начал[https://vk.com/invite/ZiWUNYw|...читaть дaлeе];10;1;0;9426;;Мужские Анекдоты;452135
https://vk.com/wall-130537624_338035;https://vk.com/club130537624?w=wall-130537624_338035;https://vk.com/club130537624;https://vk.com/club130537624;2024-04-27 11:41;Д21. Дала в попу за 10к парню с сайта знакомств. Я очень пошлая девочка с подросткового возраста, всегда любила пошлые переписки, но до секса с парнем никогда не доходило. Лишила девственности себя случайно в ванной зубной щёткой, но продолжаю всем говорить, что девочка. Написал мне как-то парень, внешка у него мечта, очень воспитанный по переписке, предложил встретиться и сразу сказал, что рассчитывает на продолжение. Встретились в кафе, пообщались и он предложил покататься, выехали за город, минут 15 ехали молча и он достаёт пачку денег и говорит, что готов дать мне 50к, если я отсосу ему в машине и на заднем сиденье дам в попу, типа не хочет лишать девственности. Отказалась, ведь думала, что это проверка, а он свернул с дороги, вытащил меня из машины и отвёл по глубже в лес, привязал руки к дереву, задрал платье и срезал трусики, запихнул мне их в рот и начал[https://vk.com/invite/ZiWUNYw|...читaть дaлeе];6;3;0;7500;;Анекдоты для взрослых;632008
https://vk.com/wall-149640858_232421;https://vk.com/club149640858?w=wall-149640858_232421;https://vk.com/club149640858;https://vk.com/club149640858;2024-04-27 11:02;Д21. Дала в попу за 10к парню с сайта знакомств. Я очень пошлая девочка с подросткового возраста, всегда любила пошлые переписки, но до секса с парнем никогда не доходило. Лишила девственности себя случайно в ванной зубной щёткой, но продолжаю всем говорить, что девочка. Написал мне как-то парень, внешка у него мечта, очень воспитанный по переписке, предложил встретиться и сразу сказал, что рассчитывает на продолжение. Встретились в кафе, пообщались и он предложил покататься, выехали за город, минут 15 ехали молча и он достаёт пачку денег и говорит, что готов дать мне 50к, если я отсосу ему в машине и на заднем сиденье дам в попу, типа не хочет лишать девственности. Отказалась, ведь думала, что это проверка, а он свернул с дороги, вытащил меня из машины и отвёл по глубже в лес, привязал руки к дереву, задрал платье и срезал трусики, запихнул мне их в рот и начал[https://vk.com/invite/ZiWUNYw|...читaть дaлeе];3;0;0;5394;;Пошлые Приколы;494049
https://vk.com/wall-144654434_801676;https://vk.com/club144654434?w=wall-144654434_801676;https://vk.com/club144654434;https://vk.com/club144654434;2024-04-27 04:10;"«Лакшери» зубные щетки Kingubznis Luxury Toothbrush https://aliclick.shop/r/c/1saghg3gsotfwywr?erid=2SDnjdwquFe  Реклама. ООО ""АЛИБАБА.КОМ (РУ)"", ИНН 7703380158";3;3;0;4035;;Aliexpress для авто;805510
https://vk.com/wall-179552434_806762;https://vk.com/club179552434?w=wall-179552434_806762;https://vk.com/club179552434;https://vk.com/club179552434;2024-04-27 07:43;"«ЧЕРНЫЙ» И «БЕЗРОДНЫЙ»  По городу шел человек. В руке он держал батон. Обычный батон. Было тепло, у человека было хорошее настроение. Вдруг он остановился и посмотрел назад. И вовремя.  Сзади шел пес. Обычный безродный пес, по-своему красивый, но бездомный и очень несчастный. Начиналась весна, и псу очень хотелось есть. Но больше всего ему хотелось завести хозяина.  Когда человек оглянулся, пес уже открывал рот, чтобы откусить кусок батона. Он не был вором, просто ему очень хотелось есть. Человек отдернул руку и засмеялся:  – Ах ты, воришка!  Пес испугался и даже закрыл глаза, но не убежал. Ему очень хотелось есть.  Человек посмотрел на него, а потом протянул руку и погладил по голове.  – На, держи!  Человек отломил кусок батона и протянул псу. Пес очень аккуратно взял хлеб и начал есть. Человек усмехнулся и пошел дальше. Пес доел хлеб и побежал за ним. Он пристроился сбоку, заметно повеселев. Он не наелся, но настроение поднялось. Его не прогнали! Человек покачал головой:  – Нет уж, хватит.  Пес хотел еще кусочек, но еще больше он хотел, чтобы человек его снова погладил. Человек дошел до какого-то дома, остановился, посмотрел на пса.  – Ну, ладно. Вот тебе еще кусок.  С этими словами человек скрылся в дверях. Пес съел второй кусок и уселся ждать. Ему очень нужен был хозяин.  Он ждал долго. Через час человек вышел. Он очень удивился, снова увидев пса.  – Ну, ты даешь, бродяга! Придется мне себе новый батон покупать.  Человек кинул псу остаток хлеба и хотел уйти. Пес обнюхал батон, сглотнул слюну, но не взял его, а пошел за человеком. Ему очень нужен был хозяин. Больше, чем хлеб. Хотя он все еще очень хотел есть.  – Зажрался, – осуждающе заметил человек. – Хлеб тебя уже не устраивает?  – Устраивает! – хотел закричать пес, но только заскулил и заглянул человеку в глаза.  – Бедолага, – пожалел его человек и почесал за ухом. Пес лизнул его руку теплым шершавым языком.  – Пошли со мной, – позволил человек.  Пес даже завизжал. Он все понимал. Почти все собаки понимают язык людей, только не все собаки их слушают – люди слишком много говорят.  Пес побежал рядом, гордо подняв голову. Он показывал всем, что у него есть хозяин. Это так здорово, когда у тебя есть хозяин! Это самое главное. Для собаки иметь хозяина, все равно, что иметь дом, только чуть-чуть поважнее.  Пес прогнал двух кошек, которые нагло посмотрели на его хозяина, но когда человек, вернее, хозяин, назвал его балбесом и сказал, чтобы он не гонялся за ними, он все понял и на третью кошку не обратил никакого внимания.  Хозяин привел его домой. Но когда он открыл калитку, из маленького домика, что стоял рядом с большим, вылетел здоровый, черный и клыкастый. Он с рыком кинулся на пса.  – Фу! – закричал хозяин. Нет, не хозяин. Просто человек. Пес это понял. У человека уже была собака, а человек никогда не возьмет безродного, если у него уже есть такой большой и черный. Пес повесил уши. Он снова не замечал, что уже весна. Стало еще хуже, чем утром.  Надо было уходить. Большой и черный грозно смотрел на незваного гостя. Пес развернулся и поплелся назад.  – Эй, ты куда? Я тебе зря, что ли, целый батон скормил? – весело крикнул человек. Или, все таки, хозяин? Безродный обернулся и чуть вильнул хвостом.  – Да-да. Я тебе говорю, – человек хлопнул себя по ноге. Безродный улыбнулся. Да, собаки тоже улыбаются, просто люди этого не видят.  Он подошел поближе, не забывая поглядывать на черного. Тот оскалил клыки. Клыки у него были большие и белые. И весь он был какой-то плотный, крепкий и правильный.  – Будете жить вместе. Кто начнет драться, получит ремня. Ты, лохматый, сегодня заночуешь на улице, а завтра я тебе будку сколочу. А это тебе, чтобы поверил.  Человек снял с Черного кожаный ошейник с золотыми бляхами и надел на шею Безродному. Тот обмер от счастья, но, посмотрев в сторону, увидел, как помрачнел Черный.  И тогда Безродный заупрямился и попытался сбросить ошейник, но ничего не получилось.  – Прости, Черный, – виновато скосил глаза новенький. – Я не хочу твою вещь. Я ее тебе верну.  Черный поднял большую остроухую голову и отвернулся. Он был слишком гордым и породистым, чтобы ссориться с Безродным. К тому же он был ученым. Хозяин сказал «Нельзя», значит все! Если хозяин скажет, он будет спать в одной будке с кошкой.  – Извини, Черный! – снова сказал Безродный, когда хозяин ушел в дом.  Он робко подошел поближе, помахивая хвостом. Ему не хотелось ссориться с собакой хозяина. Да и, честно говоря, он побаивался Черного.  У Чёрного хвоста не было и что он думает, было непонятно. Черный молчал долго, но наконец гордо представился:  – Доберман.  – Что? – не понял Безродный.  – Меня зовут Шейх, а фамилия – Доберман. А ты кто?  – Не знаю, – грустно сказал Безродный. – А это очень важно?  – Для тебя, наверное, нет, – Черный усмехнулся.  ""Надо бы обидеться"", – подумал Безродный, но обижаться не хотелось. Уж больно хороший был день.  – Зачем ты ему нужен? – удивленно спросил Черный. Он презирал этого лохматого. И ошейник ему не идет. Но теперь, после него, он этот ошейник не наденет. Хотя на его черной шее он очень здорово смотрелся.  – А ты зачем?  – Я ему служу, – коротко ответил Черный. Он очень гордился тем, что он служит.  – Я тоже буду служить.  – Ты? – Черный посмотрел на Безродного, как на кошку.  – Ты, наверное, служишь лучше. – согласился Безродный. – Тебя же учили. И у тебя порода. А я…я буду его любить.  – Я его уже люблю.  – Ты? – Безродный посмотрел мягко и печально. – Да, ты любишь. Но ты любишь по-другому. У тебя всегда был хозяин. Тебе не пришлось его искать. А мне очень нужен был хозяин…  Безродный положил голову на лапы и закрыл глаза. Он вспоминал свою жизнь. И эта жизнь была заполнена борьбой за еду и тепло, поисками хозяина и смутной щенячьей памятью о том далеком времени, когда он был маленьким и у него был хозяин…  Черный не понимал этого. Собаки умеют понимать мысли друг друга, но не понимают воспоминаний. Их нельзя передать хвостом, шерстью и клыками.  – Ладно, живи, – буркнул он. – Но если ты подойдешь к моей миске – пеняй на себя. Разорву!  Безродный посмотрел на клыки Черного и поверил – разорвет. Но он и не собирался брать чужое. Он же не вор. А сегодняшний батон… Просто он очень хотел есть.  Эту ночь Безродный провел на крыльце. Там больше всего пахло хозяином.  Так они жили несколько недель. Черный не рычал на Безродного, но по утрам не здоровался. Его куцый хвостик ни разу не дернулся, приветствуя соседа. Он его просто не замечал.  А потом Черный потерялся. Он сам не понимал, как это произошло.  Они с хозяином ездили на собачью выставку на электричке и на обратном пути, за одну остановку до города, когда Черный спал, хозяин вышел в тамбур. Черный проснулся, не увидел хозяина, и, заволновавшись, выскочил на перрон. И тут двери захлопнулись и электричка уехала.  Что пережил Черный человечьими словами описать нельзя. Только собака знает, что значит остаться без хозяина. Черный помнил только два чувства – страх и тоска. Сначала был лишь страх. Нет, Черный не боялся ничего конкретного. Он был очень силен. Но он боялся быть один. Он искал хозяина целый день, но его следов не было.  И когда он ночью, устав, уселся на землю и посмотрел на Луну, пришла тоска. Это была та темная тоска, глухая и безысходная, от которой плачут не только собаки, но и люди.  Да, собаки плачут. Просто люди этого не видят и не понимают, ведь они думают, что только они могут плакать.  Черный завыл. Он выл долго, словно прощаясь с жизнью. И когда его тоска достигла высшей точки, он понял, где его хозяин. Он и сам не знал, как он это понял. Понял – и все. Собаки это умеют. И он кинулся бежать. Черной тенью он летел по ночному полю, сдирая подушки лап о щебень железнодорожного полотна. Он бежал и боялся. Боялся ошибиться. Теперь он начал понимать, о чем тогда молчал Безродный.  Он вбежал в город и, почувствовав знакомые запахи, понесся еще быстрее, хотя это, казалось, было уже невозможно.  Хозяина он увидел далеко от дома, несмотря на то, что было уже очень поздно. Скорее, даже раннее утро. Он был с Безродным. ""Они меня ищут!"" – понял Черный.  Безродный увидел его раньше хозяина и с радостным визгом бросился навстречу. Черный остановился только тогда, когда добежал по хозяина и сел у его ног. Он тяжело дышал высунув язык.  – Где ты был?! Мы тебя всю ночь ищем! – кричал Безродный, возбужденно бегая вокруг Черного.  – Успокойся, дворняга. Все нормально, – буркнул Черный. Он был слишком гордым, чтобы показывать свою радость. Безродный не обиделся. Он понимал, что Черный очень гордый. К тому же он видел, что Черный рад даже ему, Безродному.  А по дороге домой случилось еще одно происшествие. Плохой человек преградил им дорогу. Он качался и плохо вонял. Собаки очень не любят таких людей. Им трудно понять человек это или нет. Они похожи на людей, но пахнут по-другому, ведут себя по-другому и непонятно говорят. А собаки очень не любят, когда они что-то не могут понять.  Этот человек почти сразу же достал нож и начал кричать что-то непонятное хозяину. Черный мгновенно напрягся, хотя и очень устал. Он ждал, когда хозяин даст команду ""Фас!"" Черный умел отнимать нож. Его этому учили.  Но хозяин не успел. Помешал этот балбес Безродный. Он стрелой вылетел откуда-то из кустов и со звонким, совсем не страшным лаем кинулся на пьяного. Он был бесстрашен, но глуп и неумел. Глуп, но бесстрашен. И он попал под нож. Лезвие рассекло ему плечо, но Безродный вцепился в ногу плохого человека, сквозь зубы скуля от боли. Плохой человек снова замахнулся ножом. Он хотел убить Безродного!  И тогда Черный прыгнул. Кинулся вопреки всему тому, чему его учили, не дожидаясь команды, уже в прыжке услышав долгожданное ""Фас!""  Да-а, он умел это делать. Большие белые клыки сомкнулись на запястье плохого человека за мгновение до того, как нож опустился на Безродного. Черного многому учили. Но его не учили такой жгучей смертельной ярости!  Под клыками хрустнула кость и кровь брызнула из порванной плоти. Затем бешеный рывок в сторону, и человек полетел на землю. Сквозь багровую пелену в глазах Черный слышал вопли лежащего: «Убери своих дьяволов, ради Бога!» И лишь голос хозяина с трудом заставил его разжать челюсти.  …Дома хозяин перевязал кровоточащее плечо Безродного и наложил Черному полную миску каши с мясом, которую он любил гораздо больше чем «Педди Гри».  Потом хозяин сел в кресло, налив себе немного коньяку и подозвал собак. Безродный уселся между ног хозяина, положив свою голову ему на колени, а Черный чинно сел рядом с креслом. Он был очень гордый и воспитанный, но когда рука хозяина почесала его лоб, он прижал уши и облизал руку теплым шершавым языком. Таким же как у Безродного.  – Черти вы мои, черти, – тихо говорил хозяин, лаская собак.  – Теперь, ты будешь любить его по-другому, – проурчал Безродный, приоткрыв один глаз.  – Да, – согласился Черный. – А ты, похоже, научился служить.  – Не так хорошо, как ты. Я же неученый.  – Можешь есть из моей миски, – помолчав, сказал Черный, отвернувшись в сторону. Все-таки он был очень гордый.  – Хочешь, я покажу тебе, где я закопал кость? – спросил Безродный.  Черный не ответил, но его куцый хвостик выбил дробь на полу. Он стыдился признаться самому себе, но ему всегда было жутко интересно, куда Безродный закапывает кости.  …Однажды к хозяину пришли Друзья.  – Зачем тебе два пса? – спросил один из них.  – Они мне служат, – ответил хозяин. – И они меня любят.  Он посмотрел на своих собак и, улыбнувшись, подмигнул им. Черный с Безродным переглянулись. Все-таки некоторые люди, кажется, понимают, о чем говорят собаки…    Автор: Дмитрий ГРУНЮШКИН";231;22;11;3469;;Моя дворняжка;44647
https://vk.com/wall-156345754_274504;https://vk.com/club156345754?w=wall-156345754_274504;https://vk.com/club156345754;https://vk.com/club156345754;2024-04-27 08:21;Д21. Дала в попу за 10к парню с сайта знакомств. Я очень пошлая девочка с подросткового возраста, всегда любила пошлые переписки, но до секса с парнем никогда не доходило. Лишила девственности себя случайно в ванной зубной щёткой, но продолжаю всем говорить, что девочка. Написал мне как-то парень, внешка у него мечта, очень воспитанный по переписке, предложил встретиться и сразу сказал, что рассчитывает на продолжение. Встретились в кафе, пообщались и он предложил покататься, выехали за город, минут 15 ехали молча и он достаёт пачку денег и говорит, что готов дать мне 50к, если я отсосу ему в машине и на заднем сиденье дам в попу, типа не хочет лишать девственности. Отказалась, ведь думала, что это проверка, а он свернул с дороги, вытащил меня из машины и отвёл по глубже в лес, привязал руки к дереву, задрал платье и срезал трусики, запихнул мне их в рот и начал[https://vk.com/invite/ZiWUNYw|...читaть дaлeе];0;0;0;3423;;AutoLive;124294
https://vk.com/wall-169855225_2572;https://vk.com/club169855225?w=wall-169855225_2572;https://vk.com/club169855225;https://vk.com/club169855225;2024-04-27 06:44;«Кинологический Союз Челябинск»предлагает услуги дрессировки, груминга, акватренировок для собак!  Мы рады представить Вам наш кинологический центр, предоставляющий широкий спектр услуг для ваших питомцев! Наши опытные кинологи помогут вам обучить вашу собаку различным командам, а также провести индивидуальные занятия для улучшения поведения и социализации вашего любимца.  Наши услуги включают:  ● Дрессировку собак: мы поможем Вашему питомцу освоить основные команды и улучшить выдержку и послушание (ОКД, УГС, цирковая дрессировка, социализация).  ● Груминг: наши специалисты проведут профессиональный уход за шерстью, ушами, зубами и когтями Вашей собаки, делая её ухоженной и здоровой.  ● Акватренировки: мы предлагаем уникальные водные занятия для собак, которые помогают укрепить мышцы, развить координацию и улучшить настроение Вашего питомца, а также успешно перенести период реабилитации после операции.  На основе нашего центра регулярно проводятся породные дни, праздничные мероприятия, летний кинологический лагерь, а также проводим открытые уроки, ознакамливаемся с профессией кинолог.   Наше кредо – индивидуальный подход и доступные цены!  Не упустите возможность расширить свой круг общения и сделать жизнь Вашего любимца ярче и насыщеннее благодаря нашему кинологическому центру! Свяжитесь с нами для получения дополнительной информации и записи на первое занятие.  Запись по телефону: +7 (951) 479-58-97 г. Челябинск, ул. Фёдорова, 1Д;2;0;0;1649;;Подслушано ЧТЗ Чурилово Тракторозаводский район;15439
https://vk.com/wall-45712009_465715;https://vk.com/club45712009?w=wall-45712009_465715;https://vk.com/club45712009;https://vk.com/club45712009;2024-04-27 10:03;erid 2SDnjcbtMYu  «Бережное и эффективное очищение зубных протезов»🤗   Поддержание чистоты зубных протезов является неотъемлемой частью гигиены полости рта. Используйте таблетки для очищения зубных протезов Dr.Dente каждый день, и Ваши протезы будут чистыми и свежими.    Система очистки 4 в 1 содержит 4 компонента, которые действуют сообща, помогая содержать протезы в чистоте.    ✅Таблетки для очищения зубных протезов Dr.Dente:  • уменьшают число бактерий, вызывающих неприятный запах изо рта  • удаляют налет и пятна, чтобы ваши протезы были свежими и чистыми  Реклама ООО«Крон»;20;0;1;1519;;Аптека «Планета Здоровья»;150243
https://vk.com/wall-178128337_34887;https://vk.com/club178128337?w=wall-178128337_34887;https://vk.com/club178128337;https://vk.com/club178128337;2024-04-27 06:17;– Здесь занимают очередь на жертвоприношение? – Здесь, здесь! За мной будете. Я 852, вы – 853. – Ой, мамочки… Это когда же очередь дойдет? – Не беспокойтесь, тут быстро. Вы во имя чего жертву приносите? – Я – во имя любви. А вы? –- А я – во имя детей. Дети – это мое все! – А вы что в качестве жертвы принесли? – Свою личную жизнь. Лишь бы дети были здоровы и счастливы. Все, все отдаю им. Замуж звал хороший человек – не пошла. Как я им отчима в дом приведу? Работу любимую бросила, потому что ездить далеко. Устроилась нянечкой в детский сад, чтобы на виду, под присмотром, ухоженные, накормленные. Все, все детям! Себе – ничего. – Ой, я вас так понимаю. А я хочу пожертвовать отношениями… Понимаете, у меня с мужем давно уже ничего не осталось… У него уже другая женщина. У меня вроде тоже мужчина появился, но… Вот если бы муж первый ушел! Но он к ней не уходит! Плачет… Говорит, что привык ко мне… А мне его жалко! Плачет же! Так и живем… Распахивается дверь, раздается голос: «№ 852, проходите!». – Ой, я пошла. Я так волнуюсь!!! А вдруг жертву не примут?  № 853 сжимается в комочек и ждет вызова.  Время тянется медленно, но вот из кабинета выходит № 852. – Что? Ну что? Что вам сказали? Приняли жертву? – Нет… Тут, оказывается, испытательный срок. Отправили еще подумать. – А как? А почему? Почему не сразу? – Ох, милочка, они меня спрашивают: «А вы хорошо подумали? Это же навсегда!». А я им: «Ничего! Дети повзрослеют, оценят, чем мама для них пожертвовала». А они мне: «Присядьте и смотрите на экран». А там такое кино странное! Про меня. Как будто дети уже выросли. Дочка замуж вышла за тридевять земель, а сын звонит раз в месяц, как из-под палки, невестка сквозь зубы разговаривает… Я ему: «Ты что ж, сынок, так со мной, за что?». А он мне: «Не лезь, мама, в нашу жизнь, ради бога. Тебе что, заняться нечем?». А чем мне заняться, я ж, кроме детей, ничем и не занималась? Это что ж, не оценили детки мою жертву? Напрасно, что ли, я старалась?  Из двери кабинета доносится: «Следующий! № 853!».  – Ой, теперь я… Господи, вы меня совсем из колеи выбили… Это что ж??? Ай, ладно!  – Проходите, присаживайтесь. Что принесли в жертву? – Отношения… – Понятно… Ну, показывайте. – Вот… Смотрите, они, в общем, небольшие, но очень симпатичные. И свеженькие, неразношенные, мы всего полгода назад познакомились. – Ради чего вы ими жертвуете? – Ради сохранения семьи… – Чьей, вашей? А что, есть необходимость сохранять? – Ну да! У мужа любовница, давно уже, он к ней бегает, врет все время, прямо сил никаких нет. – А вы что? – Ну что я? Появился в моей жизни другой человек, вроде как отношения у нас. – Так вы эти новые отношения – в жертву? – Да… Чтобы семью сохранить. – Чью? Вы ж сами говорите, у мужа – другая женщина. У вас – другой мужчина. Где ж тут семья? – Ну и что? По паспорту-то мы – все еще женаты! Значит, семья. – То есть вас все устраивает? – Нет! Нет! Ну как это может устраивать? Я все время плачу, переживаю! – Но променять на новые отношения ни за что не согласитесь, да? – Ну, не такие уж они глубокие, так, времяпровождение… В общем, мне не жалко! – Ну, если вам не жалко, тогда нам – тем более. Давайте вашу жертву.  – А мне говорили, у вас тут кино показывают. Про будущее! Почему мне не показываете? – Кино тут разное бывает. Кому про будущее, кому про прошлое… Мы вам про настоящее покажем. Включаем, смотрите. – Ой, ой! Это же я! Боже мой, я что, вот так выгляжу? Да вранье! Я за собой ухаживаю. – Ну, это ваша душа таким образом на внешности проецируется. – Что, вот так? Плечи вниз, губы в линию, глаза тусклые, волосы повисшие… – Так всегда выглядят люди, если душа плачет… – А это что за мальчик? Славненький какой… Смотрите, как он ко мне прижимается! – Не узнали, да? Это ваш муж. В проекции души. – Муж? Что за ерунда! Он взрослый человек! – А в душе – ребенок. И прижимается, как к мамочке… – Да он и в жизни так! Прислоняется. Тянется! – Значит, не вы к нему, а он к вам? – Ну, я с детства усвоила – женщина должна быть сильнее, мудрее, решительнее. Она должна и семьей руководить, и мужа направлять! – Ну так оно и есть. Сильная, мудрая решительная мамочка руководит своим мальчиком-мужем. И поругает, и пожалеет, и приголубит, и простит. А что вы хотели? – Очень интересно! Но ведь я ему не мамочка, я ему жена! А там, на экране… Он такой виноватый, и к лахудре своей вот-вот опять побежит, а я его все равно люблю! – Конечно, разумеется, так оно и случается: мальчик поиграет в песочнице, и вернется домой. К родной мамуле. Поплачет в фартук, повинится… Ладно, конец фильма. Давайте завершать нашу встречу. Будете любовь в жертву приносить? Не передумали?  – А будущее? Почему вы мне будущее не показали? – А его у вас нет. При таком настоящем – сбежит ваш выросший «малыш», не к другой женщине, так в болезнь. Или вовсе – в никуда. В общем, найдет способ вырваться из-под маминой юбки. Ему ж тоже расти охота… – Но что же мне делать? Ради чего я тогда себя буду в жертву приносить? – А вам виднее. Может, вам быть мамочкой безумно нравится! Больше, чем женой. – Нет! Мне нравится быть любимой женщиной! – Ну, мамочки тоже бывают любимыми женщинами, даже часто. Так что? Готовы принести жертву? Ради сохранения того, что имеете, и чтобы муж так и оставался мальчиком? – Нет… Не готова. Мне надо подумать. – Конечно, конечно. Мы даем время на раздумья. – А советы вы даете? – Охотно и с удовольствием. – Скажите, а что нужно сделать, чтобы мой муж… ну, вырос, что ли? – Наверное, перестать быть мамочкой. Повернуться лицом к себе и научиться быть Женщиной. Обольстительной, волнующей, загадочной, желанной. Такой цветы дарить хочется и серенады петь, а не плакать у нее на теплой мягкой груди. – Да? Вы думаете, поможет? – Обычно помогает. Ну, это в том случае, если вы все-таки выберете быть Женщиной. Но если что – вы приходите! Отношения у вас замечательные просто, мы их с удовольствием возьмем. Знаете, сколько людей в мире о таких отношениях мечтают? Так что, если надумаете пожертвовать в пользу нуждающихся – милости просим! – Я подумаю…  № 853 растерянно выходит из кабинета, судорожно прижимая к груди отношения.  № 854, обмирая от волнения, заходит в кабинет.  – Готова пожертвовать своими интересами ради того, чтобы мамочка не огорчалась.  Дверь закрывается. По коридору прохаживаются люди, прижимая к груди желания, способности, карьеры, таланты, возможности – все то, что они готовы самоотверженно принести в жертву…;21;9;0;1301;;Темнота;25900
