ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-129201384_339876;https://vk.com/club129201384?w=wall-129201384_339876;https://vk.com/club129201384;https://vk.com/club129201384;2024-04-27 09:03;"😳 В Москве одна молодая женщина настолько полюбила своего партнёра-мусульманина, что согласилась на удаление малых половых губ!    Мужчина попросил возлюбленную сделать операцию для соблюдение ""традиционных обычаев"". При этом сообщается, что сам Эльбрус выступает учредителем клиники,где проводят такие операции.    Однако операция привела к серьезным осложнениям, из-за которых девушка испытывает трудности с сидением,походом в туалет и занятием сексом. По всей видимости, из-за этих проблем партнёр принял решение расстаться с ней и даже унизил ее словами перед уходом. Такие дела.    После таких проблем, мужчина просто бросил девушку и оскорбил";15;24;27;32607;;Женская натура;335016
https://vk.com/wall462257027_76409;https://vk.com/id462257027?w=wall462257027_76409;https://vk.com/id462257027;https://vk.com/id462257027;2024-04-27 01:52;Цена штучно: 250руб Цена оптом: 250руб Набор косметики, ткань Шикарный Подарочный набор 8в1. 4 Увлажняющих крема для рук 4 бальзама для губ .  цена : 250руб  подарочный набор кремов для рук и бальзамой для губ - уход за кожей, который подстраивается;84;16;1;5579;;Suhrob Saidov;12930
https://vk.com/wall-105250379_873760;https://vk.com/club105250379?w=wall-105250379_873760;https://vk.com/club105250379;https://vk.com/club105250379;2024-04-27 00:18;То, что делает женщину женственнее   Это работает энергетически в первую очередь, гормонально меняет женщину.    1. Сладкая речь. Нежный голос, мягкий тембр, приятные слова, молитва, няшные милости вслух:) Пение.  2. Сладкая пища, молоко, сливки. Попробуйте в течении месяца выпивать на ночь стакан сливок, вы заметите в себе умиротворение, появится безмятежность и внутреннее спокойствие.  3. Цветы. Женщина становится более красивой, когда рядом живые цветы, прана копирует энергию цветка.  4. Красивые наряды, украшения, косметика, уход за собой, массаж)  5. Общение с подругами, совместные обеды, прогулки, радости:)  6. Наблюдение за прекрасным и слушание прекрасного. Это может быть живопись, спектакль, оркестр, приятная мелодичная музыка, какие-то милые вещи.  7. Контакт с природой. Очень важен для женщины, там она черпает силы. Придите в лес или в парк, сядьте под дерево и просто посидите, ни о чем не думая, слушая природу.  8. Забота о близких. Женщине важно ласково заботиться о муже, детях, родных, кто, как ни женщина способна благословить)  9. Творчество. В др.священных писаниях говорится, что настоящая женщина должна обладать всеми видами искусства, потому что по своей природе она украшает мир, рисование, декорирование, кулинария, умение нарядить себя, искусство любовного мастерства:) Все это наполняет женщину.  10. Духовная деятельность. Это может быть посещение храма, молитва, медитация.    То, что губит женщину🔥    1. Грубая речь. Жесткий голос, брань, это опустошает женщину, морально истощает.  2. Продукты насилия, лук, чеснок, алкоголь, курево делают женщину грубой, жестокой.  3. Уродливые вещи вокруг. Модные сейчас черепа, принты со сценами насилия, всякие такие штучки блокируют женскую энергию.  4. Наблюдение за отвратным. Фильмы ужасов, типа Пилы, где выворачивают кишки, вот на это здоровой женщине смотреть вообще нельзя)  5. Нахождение в обществе, где ругаются, курят, употребляют алкоголь. Поставьте розочку в таком помещение, она завянет за пару часов.  6. Погоня за результатом, спешка, соревнования с кем-то, борьба, напряженная работа опустошает, высушивает и делает женщину несчастной.  7. Неправильный режим. С 22 до 2 ночи действует лунная энергия, она очень успокаивает и умиротворяет, в это время нужно спать, когда начинает действовать солнечная энергия нужно просыпаться, раньше 9, чтобы избегать интоксикации.  8. Некрасивая одежда.  9. Ложь. Блокирует горловую чакру, это уже означает отсутствие мягкого голоса, присутствие брани и т.д.  10. Зависть. Страшное качество, присущее женщине. Зависть порождает гнев, гнев-насилие, насилие-саморазрушение. Вот такая неприятная цепочка. Во время молитвы желайте всем счастья, чувства зависти у вас не будет.    Женщина соткана из любви, её природа-красота, она гибкая и текучая, поэтому женщина должна создавать атмосферу спокойствия и гармонии, украшать мир и испытывать блаженство.   Юлия Дальво;79;78;1;4169;;Ведическая Семья;525500
https://vk.com/wall-142833796_283959;https://vk.com/club142833796?w=wall-142833796_283959;https://vk.com/club142833796;https://vk.com/club142833796;2024-04-27 11:35;"😳 В Москве одна молодая женщина настолько полюбила своего партнёра-мусульманина, что согласилась на удаление малых половых губ!  Мужчина попросил возлюбленную сделать операцию для соблюдение ""традиционных обычаев"". При этом сообщается, что сам Эльбрус выступает учредителем клиники,где проводят такие операции.  Однако операция привела к серьезным осложнениям, из-за которых девушка испытывает трудности с сидением,походом в туалет и занятием сексом. По всей видимости, из-за этих проблем партнёр принял решение расстаться с ней и даже унизил ее словами перед уходом. Такие дела.  После таких проблем, мужчина просто бросил девушку и оскорбил";3;1;1;1672;;Дама-хозяйка;131189
https://vk.com/wall-113247363_235174;https://vk.com/club113247363?w=wall-113247363_235174;https://vk.com/club113247363;https://vk.com/club113247363;2024-04-27 11:05;30 способов сбросить 100ккал  1. Активное приготовление обеда – 50 минут. 2. Активный секс – 60 минут. 3. Активное выгуливание собаки – 20 минут. 4. Активный набор текста/письма – 1 час. 5. Аэробное занятие (неинтенсивное) – 20 минут. 6. Велосипедная прогулка / тренажер – 10 минут. 7. Зажигательные танцы – 20 минут. 8. Игра с детьми на открытом воздухе – 17 минут. 9. Игра в боулинг – 15 минут. 10. Игра в гольф – 18 минут. 11. Игра в карты – 13 раздач. 12. Игра в пляжный волейбол – 13 минут. 13. Катание на роликовых коньках – 12 минут. 14. Медленные танцы с мужем – 40 минут. 15. Мытье машины – 25 минут. 16. Нанесите гигиеническую губную помаду – 765 раз. 17. Общение в интернет-чате – 1 час. 18. Отбивайте мяч коленом – 600 раз. 19. Пассивное выгуливание собаки – 42 минуты. 20. Поёрзайте на стуле – 40 минут. 21. Подъем по лестнице – 20 минут. 22. Пройти пешком – 1 км. 23. Поездка в транспорте – 1 час. 24. Поплавайте – 20 минут. 25. Почитать вслух – 1 час. 26. Померьте одежду – 16 раз. 27. Садоводство – 20 минут. 28. Сон – 2 часа. 29. Шоппинг активный – 15 минут. 30. Утренняя гимнастика – 20 минут. ➕ СОХРАНИ пост, чтобы не потерять! ✅ ПОДПИШИСЬ На диете;1;4;0;1062;;На диете | Рецепты, Похудение, Фитнес;1005525
https://vk.com/wall-127948244_23275;https://vk.com/club127948244?w=wall-127948244_23275;https://vk.com/club127948244;https://vk.com/club127948244;2024-04-27 10:23;Потрясающее предложение действует 27-30 апреля 🔥🔥💥💥💥  При покупке любого бартера для тела, вы сможете выбрать в подарок увлажняющий бальзам для губ 🔥☄️⚡️   Предложение действует на нашем острове и при онлайн заказе 💫 * не суммируется с другими акциями и не обналичивается за сертификат ✨;23;5;0;983;;ALINAKA Свежая косметика ручной работы|Сыктывкар;6335
https://vk.com/wall-127428039_132261;https://vk.com/club127428039?w=wall-127428039_132261;https://vk.com/club127428039;https://vk.com/club127428039;2024-04-27 08:17;🌿 Лавсония или по привычному - ХНА    Кустарник, из листьев которого делают хну, называется лавсония.  Собранные листья высушивают и перетирают в пудру. Это пудру мы привыкли называть хной.    Хна – пожалуй, самое известное натуральное средство для окрашивания волос. Однако радикальный рыжий цвет – далеко не единственный результат, которого можно добиться, регулярно нанося на волосы хну. Она обладает множеством других, менее известных достоинств. Причем для того, чтобы использовать хну в качестве средства по уходу за волосами, вовсе не обязательно жертвовать их цветом. Специалисты аюрведы рекомендуют использовать порошок хны в качестве кондиционера для тонких, ломких и секущихся волос. В хне содержится уникальный протеин, так называемая хеннодубильная кислота, благодаря которой волосы становятся шелковистыми, послушными и блестящими. Кроме того, регулярное использование такого кондиционера защищает волосы от вредного воздействия солнца, соли и хлора.    🌿 Рецепт кондиционера для волос    Смешайте две чашки порошка бесцветной хны с одной чашкой свежего йогурта и столовой ложкой лимонного сока. Залейте четыре чайные ложки черного листового чая двумя чашками воды и кипятите до тех пор, пока объем жидкости не уменьшится вдвое. Затем процедите, охладите и вылейте в смесь. Впрочем, если у вас светлые волосы и вы не хотите менять их оттенок, добавлять чай не стоит. Указанные пропорции смеси рассчитаны на среднюю длину волос.  Распределите смесь по волосам и оставьте по крайней мере на час, а затем тщательно промойте волосы прохладной водой. Мыть голову после такой маски совсем необязательно, но если вы все же хотите воспользоваться шампунем, предварительно нанесите на волосы кокосовое масло, распределив его по всей длине – от корней до кончиков, – и оставьте еще на час по меньшей мере. Проводить описанную процедуру стоит не чаще одного раза в месяц. Эффект от использования хны держится от одного месяца до шести недель. Однако со временем волосы станут значительно крепче, поэтому необходимость в нанесении маски будет возникать реже.    ⚠ Следует помнить, что в качестве кондиционера для волос используется только бесцветная хна, поскольку, как несложно догадаться, в ней отсутствуют красящие элементы.    🌿 Полезные свойства    Лавсония - народное средство лечения головной боли, желтухи, проказы, повышенного артериального давления, кровотечений, расстройств пищеварения. Лечение хной имело наибольшую популярность в арабских странах. Поскольку лавсония обладает довольно сильными дезинфицирующими свойствами, то её используют для обработки ран, швов, лечения дерматологических заболеваний и болезней костей.    Полоскание хною очень полезно при стоматите и язвах языка, щёк и губ.    Нанесение хны даёт успокоительный эффект при острых воспаления и абсцессах. А при боли в спине очень эффективно нанесение смеси, полученной из розового масла, натурального воска и экстракта хны в масле.    Если пасту из листьев лавсонии нанести на язвы человека, болеющего ветрянкой или оспой, то они быстро высохнут, и это также защитит глаза больного при этих болезнях.    Можно увеличить блеск ногтей, если нанести на них пасту хны. После инфекции ногтей можно восстановить прежний вид повреждённого ногтя, если наносить хну с уксусом.    Сухие листья лавсонии прекрасно отпугивают насекомых.    Считается, что запах хны избавляет от головной боли и увеличивает потенцию.     Внимание! Перед применением любого средства или метода лечения обязательно проконсультируйтесь с врачом, так как у большинства растений/масел/продуктов есть противопоказания для применения!;20;6;0;851;;Сила трав;277977
https://vk.com/wall-123277752_177859;https://vk.com/club123277752?w=wall-123277752_177859;https://vk.com/club123277752;https://vk.com/club123277752;2024-04-27 11:35;"😳 В Москве одна молодая женщина настолько полюбила своего партнёра-мусульманина, что согласилась на удаление малых половых губ!  Мужчина попросил возлюбленную сделать операцию для соблюдение ""традиционных обычаев"". При этом сообщается, что сам Эльбрус выступает учредителем клиники,где проводят такие операции.  Однако операция привела к серьезным осложнениям, из-за которых девушка испытывает трудности с сидением,походом в туалет и занятием сексом. По всей видимости, из-за этих проблем партнёр принял решение расстаться с ней и даже унизил ее словами перед уходом. Такие дела.  После таких проблем, мужчина просто бросил девушку и оскорбил";1;0;1;727;;Мама, хозяйка, жена;88608
https://vk.com/wall-177065993_55237;https://vk.com/club177065993?w=wall-177065993_55237;https://vk.com/club177065993;https://vk.com/club177065993;2024-04-27 12:00;"От прадеда Вене на память достались удочки, немецких открыток пачка, смешной колпак - по всему, шутовской. А также гладкая дудочка, и кисет, в котором старинный лежал табак.    Вениамин работал в далёком хосписе, в детской реанимации был медбрат. Стояла вторая декада дождливой осени. От усталости белый уже посерел халат. Какой-то безжалостный год на болезни выдался. Пикали датчики трубочек всех мастей. Веня за пятеро суток безбожно выдохся, дежуря разом у целых восьми детей. Они уходили - граница плыла и таяла, тянула за души измученных малышей… С хрипами дышит Настюша - цветочек аленький, Миша три месяца как не встаёт уже. Женьке не помогла совершенно химия. Врач покачал головой, и ушёл курить. Держит Аркаша крепко руками хилыми толстую книжку яркую Братьев Гримм. Он самый старший - Люде читает с Веронькой страшные сказки. Им они не страшны. Вова и Тим сегодня умрут, наверное. Станут тенями хосписной тишины.    Младшему три, старшему - десять было бы. Было бы, если бы, кабы... Но что теперь!  -Дядь, а чего кузнечиков звать кобылками?  -Дядь, а белка же вовсе не хищный зверь?  -Дядь, расскажи нам про крысолова с дудочкой! - сыплют из коечек дети наперебой.  Веня берёт Аркашу, поправив курточку пижамную с яркой птицею голубой.    ""Спать бы вам, мелкие!"" – Веня ворчит, и слушает, как дождь барабанит по толстым холодным стеклам. Смерть всегда в темную пору вокруг да около ходит, и тянется к личикам на подушках…  Но мелочь к медбрату сгрудилась дружной кучкой. Не спят даже те, кто очень давно лежат. Аркаша угревшись, у Вени сидит на ручках, а Веня читает худеньким малышам.    У него в кармане - дудочка спит в пакете. И, когда кончается сказка, и рвётся жизнь, он подносит к губам её, тихо играя детям, и течёт колдовская мелодия и дрожит – льётся, стены колебля, зовя за собой болезни из почти что прозрачных измученных тонких тел.  Повинуются хвори забытой могучей песне, и внук Крысолова их к серой ведёт воде.    И гаснут под ливнем гибели, страхи, боли. И утекают от страшной больницы прочь. Небо к утру становится голубое, отступает под натиском музыки эта ночь...    Утром проснулись дети. Хохочет Людочка.  Кормит Аркаша младших столовской булочкой,  Веня по-прежнему бледен и тощ, как жердь.  Но в кармане халата белого - гладкая дудочка,  которая песней своей отгоняет Смерть.    Май - 21 сентября 2023 г.  Елена Холодова";28;3;1;648;;Пути Небесные;21759
https://vk.com/wall-161202967_193075;https://vk.com/club161202967?w=wall-161202967_193075;https://vk.com/club161202967;https://vk.com/club161202967;2024-04-27 08:15;ВСЕВОЛОД ВИШНЕВСКИЙ, ИВАН ЗОЛИН.УЛИЧНЫЕ БОИ В БЕРЛИНЕ  газета «Правда» №100, 27 апреля 1945 года    Это была ночь с 20 на 21 апреля. Войска, совершившие в пять дней длинный, почти 100-километровый поход с непрерывными боями, готовились к последнему рывку — в самый Берлин. Надо видеть эти последние 100 километров перед Берлином! Здесь изрыта вся почва. Безобразно серый слой земли начинается сразу за Одером. Сплошные ямы, кротовые ходы, воронки, зияющие дыры и щели. Отсюда, с насквозь просматриваемых и простреливаемых плацдармов, с сырой и гиблой низины, и ринулись наши войска, проломали четыре тяжелейших пояса немецкой обороны и подошли к столице «Третьей империи».    С особым порывом шли части, тренированные в калининских и прибалтийских лесных боях, части, воспитавшие в себе навыки ночного боя. Эти навыки сослужили в битве за Берлин неоценимую службу.    Немцы, скованные могучим натиском наших войск, пытались по ночам приводить свои части в порядок, подвозить резервы, перегруппировывать дивизии и так называемые «боевые группы» — остатки битых дивизий и полков, пытались по ночам кормить свои измотанные части и давать им хотя бы недолгий сон. Вот тут-то и вступали в дело наши закаленные полки, для которых боевые действия в лесу и ночью привычны... «Днем его, дьявола, выкуриваешь — километра на три, четыре... Траншей нарыли немцы — сами видите, сколько, — ну, и упираются. А ночью мы двигаем и все семь, а то и десять километров. Ходоки у нас проворные, — ориентируются, хоть глаза завяжи, и огонь такой ведут, что немец не выдерживает. Тьмы боится, и огня, и обхода…». Достаточно сказать, что в канун решающего удара части, о которых речь, сделали умелый бросок километров на двадцать. Бойцы буквально наступали немцам на пятки. Если встречались упорные очаги сопротивления, их обходили, обтекали и гнали немцев неустанно, идя тропами, лесными дорогами, просеками... Так русский боевой опыт лесных боев и поломал немецкую оборону в Бранденбургских лесах.    Было ещё темно, когда на шоссе стали вытягиваться тяжёлые машины с просмолёнными челноками. Не сразу можно было разобрать, что за предметы на машинах… Бойцы строили догадки. Потом сомнения были разрешены простым сообщением: «Это лодки поданы, чтобы форсировать реку Шпрее, в Берлине, когда вы, товарищи, ворвётесь в город»…    Тьма, приглушённый говор, полусекундное мерцание фонариков, кое-где лязг оружия… И тяжёлый шаг советской пехоты. Ночь была сырая, дождливая. В дивизиях и полках главной была мысль: не только ворваться в Берлин, но ворваться первыми. В батареях ясное решение — не отстать от пехоты ни на шаг... В одном из ленинградских артполков бойцам напоминают: «Действовать, как при штурме немецкой границы — и еще решительнее!» А при штурме этот полк в нужную минуту на полном ходу повёл свои могучие гаубицы впереди пехоты, развернулся и расхлестал немцев прямой наводкой... На лицах людей — абсолютная решимость. И — волнующий, жгучий вопрос: кто ворвётся в Берлин первым, кто первым откроет огонь по Берлину?..    На шоссе — столбы и жёлтые дорожные немецкие указатели, освещаемые короткими вспышками фонариков. Город во тьме, вот тут близко, на фоне пожаров уже видна гряда тяжёлых архитектурных силуэтов... Это ты, Берлин!    Пехота идёт по мостам и виадукам... Ага, кольцевая Берлинская автострада. Граница «Большого Берлина»... Тягачи батарей делают новый рывок — и первые русские батареи втягиваются в город... Пригород Аренсфельде... Каждые 20 секунд ложится немецкий залп. Артиллеристы, как на ученьи, — молча, с глазами, вперенными вдаль, едут вперёд. Руки сжимают скобы сидений. Часть развертывается вправо и влево от шоссе. Лопаты врезаются в берлинскую землю, — тут рыжий песок с галькой.    Пехота идет по полям и садам пригорода...    В рассветной мгле звучит необычайно ясно и вибрирующе-трепетно голос офицера: «По столице фашистской Германии — батарею зарядить!» Лязг замков... Командир батареи старший лейтенант Царуковский стоит неподвижно, устремив глаза на город... Вот ты, долгожданный час, вот ты, день, которого ждал весь советский народ!.. «Батарея, огонь!..» Сернисто-жёлтые огромные вспышки, орудия тяжело откатываются... 6 часов утра 21 апреля 1945 года.    Вторая батарея открывает огонь. Нам оказывают честь, и мы стреляем по Берлину — по огневым позициям противника в восточной части города. Пехота идёт на Мальхов… Правее могуче-стремительным клином, опережая всех, врезается в Берлин гвардейская дивизия. Она идет на Панков.    На стенах мы читаем нервно-аляповатые, белой краской наляпанные лозунги гитлеровцев: «Соблюдать спокойствие! Берлин не будет сдан». — Нет, спокойствия в городе не будет. Берлин будет взят!..    При свете утра видишь в сырой пелене панораму города, черные колоссальные столбы дыма, ряды по-солдатски вытянутых в шеренгу огромных заводских труб, столбы электропередач... В домах свет, действует телефон. Но, когда мы спрашиваем у обывателей газету, нам отвечают, что уже четырнадцать дней, как нет газет. На стенах последняя афиша, помеченная 20-м апреля. Это последняя мобилизация из всех об’явленных Гитлером. Призываются все солдаты-отпускники и все отпускники с заводов. Вот один из таких: без фуражки, в цветном кашне, лохматый... «Там был такой беспорядок, все смешалось, — офицеры перепугались»... «Фокке-Вульфы» пикируют на наши передовые подразделения и позиции батарей. Зенитчики сшибают в минуту—две четырех немцев, — и налёт исчерпан. Нахлестывая коней, в город мчатся первые обозники, усатые дядьки… Они подают боезапас. И по берлинскому асфальту бешено стучат копыта русских коней и сыплются яркие искры.    — Эй, милые!    Штурмующие части вгрызаются в город. Около батареи, — она укомплектована сплошь ленинградской молодежью, — рвутся немецкие снаряды, звенят щиты, валятся ветви, резко ударяются в землю осколки. На батарею идет пехотный офицер: «Товарищи артиллеристы, вот из того двухэтажного дома работают два немецких пулемёта, губят наших». И расчёты под свист и вой осколков становятся к орудиям. Старший лейтенант Патрикеев командует: «По пулеметам наводить!» И пехотный офицер говорит: «Если вы, братцы, уничтожите эти расчёты пулемётные, которые, видно, слишком любят фашизм, я лично буду ходатайствовать, чтоб вас представили к высшей награде… Вы только поймите — они мешают в Берлин войти!» И это было сказано так чисто и просто, что не понять, не ответить было нельзя. И Патрикеев ответил: «Не для того мы пришли от Ленинграда до Берлина, чтобы сплошать»… И сам пошёл в пехоту, чтобы в упор определить, где, в каких окнах эти два пулемета. Идет и говорит: «В дом попаду сразу, но мне надо попасть в пулемёты»… Тогда вскакивают два бойца: «Сейчас покажем», — идут вперёд и вызывают на себя огонь пулемётов. Патрикеев говорит: «Теперь вижу». Подал команду. Первый разрыв лёг влево 25 и перелёт, — ясно, что артиллеристы боялись за свою пехоту и прицел взяли чуть больше. Второй дал недолёт, третий лёг в дом. Потом дали налёт 16 снарядами, из них три легло как раз в пулеметы.    Таким-то вот родом и был взят один квартал Берлина.    По улице, по проулкам, вдоль заборов, пригибаясь, идут навстречу бегущие из берлинской каторги советские граждане. Проходит старушка: «Родненькие, как тут на Орел пройтить-то?» Бабушку с улыбкой провожают к ближайшей идущей в тыл машине.    Сплошные массивные дома и местами руины — следы англо-американских бомбардировок 1943—1944 годов. Неубранные, слипшиеся кучи щебня, кирпича... Берлин грязен...    Бой принимает специфический характер: немцы сидят на чердаках, в подвалах, в сараях, на задних дворах и стремятся, пропустив наши штурмовые группы, бить их в затылок. Некоторые немецкие группы перебегают по подземным ходам или по подвалам, которые тянутся в иных местах на длину всего квартала.    Бойцы, имеющие опыт Ленинграда и Сталинграда, опыт штурма Познани и других городов, быстро раскусывают эту тактику… Артиллерия, танки и самоходки бьют прямой наводкой по чердакам, — и немецкие снайперы летят к чертям вместе с раскрошенной черепицей, а в подвалы, откуда стреляют, наши аккуратно бросают ручные гранаты и бутылки с зажигательной смесью. Это сразу успокаивает любителей засад.    Вот выскакивают какие-то типы: в пиджаках, но в серо-зелёных штанах и кованых ботинках. «Солдат?» — «Нет». Морды нагло-пьяные, из ртов несет кислым спиртным перегаром. Это мальчишки из дивизии «Гитлерюгенд», один икает и плачет. Стреляли по нашим частям в затылок. Потом, попавшись, стали переодеваться и удирать. Из другого подвала вылезают полицейские в прекрасных голубых шинелях. Они козыряют, они спешно сообщают фамилии всего полицейского начальства.    Высоко проходят наши бомбардировщики. Они обрабатывают западные районы — казармы, аэродромы и прочее. Постукивают очереди из автоматов. У булочной стоит немецкая очередь за хлебом, — домохозяйки и старички жмутся к стенке, кланяются. Наши бойцы, испытующе глядя, тут же на бульваре роют окопы. Стоят белые трамваи, на которых кто-то не успел уехать в центр. Опять надпись: «Спокойствие! Берлин не будет сдан!» Два хозяйчика-сапожника спрашивают, выглядывая из дверей, что им делать.    На улицу падает залп: четыре тяжелых немецких снаряда. Летят витрины, золотые буквы названий фирм, падают зелёные ветки вековых лип. Группа немецких ребятишек тащит из магазина игрушки, — коробки оловянных солдатиков. Проносятся машины, водитель, притормозив, спрашивает: «Куда тут к рейхстагу?» — «Не взят пока»… — «Так заберём!» — и нажимает педаль. С окон свисают белые флаги, но из этих же домов опять стреляют. Танк, урча, всаживает в эти дома несколько снарядов.    Берём резко к северу, чтобы выйти на соседние участки — к району Панков. Часть пути делаем по кольцевой автостраде. Здесь уже стоят регулировщицы. Флажки направляют потоки машин, вливающихся с радиально расходящихся шоссе. Движение так густо и так непринуждённо, будто все эти водители ездили тут, по крайней мере, полжизни. Местами танки проложили свои собственные варианты поворотов и об’ездов. Берём по танковому следу круто влево и устремляемся в северные районы города.    Высится прямоугольная башня Панков. Над ней реет алое знамя. Башня вся изрешечена снарядами — немцы бьют упорно и методически, чтобы сбить это знамя, но им не удается это сделать. Горят огромные артиллерийские склады, подожжённые противником. Железнодорожный путь здесь изуродован совершенно: немцы подорвали каждый стык рельсов, а шпалы взломали тяжелым резаком, который буксировался паровозом. Путь тут нужно настилать заново, рельс за рельсом. Огромное здание, — судя по колоссальному красному кресту, — госпиталь. Под’езжаем ближе: в концах этого красного креста... аккуратно сделанные бойницы дотов, — четыре дота. Огромное садоводство — гряды клумб, тюльпаны всех оттенков, длинные ряды кустов: смородинник, малинник… Под кустами огневые точки, развороченные нашей артиллерией. Садоводство, как и госпиталь, было рассчитано на создание огневой ловушки.    Выходы из метро — оттуда тянет кисло-гнилым запахом. Выходы наблюдаются. Открытая пивная, персонал которой, напряжённо улыбаясь, наливает пиво. Каким-то стандартным движением, напоказ, пробует его: «не отравлено» — и предлагает нашей проходящей пехоте. Стоят брошенные немецкие автомашины.    В одном из домов — командный пункт части. Передний край в тридцати метрах: дом напротив, там сидят немцы. Вблизи наши зажали батальон фольксштурма, немцы сгрудились во дворе, выходы заперты. Являются два парламентёра, им вручают ультиматум. Немцы его читают и перечитывают, кивают головами и деревянным шагом уходят к своим. Проходит назначенный срок, и немцы отвечают, что предлагают сдаться нашим. Командир, усталый от бессонницы, осипший от многодневных телефонных и радиопереговоров и команд, отпускает несколько слов. Артиллерия обрушивает шквал. «Если враг не сдается — его уничтожают».    Какой-то господин пробует доказать, что нельзя обстреливать дома, в частности его собственный дом. Кладём перед господином германский журнал «Ди Вермахт» («Вооруженные силы») номер 18-й от 27 августа 1941 года. — «Ваш журнал?» Господин перелистывает журнал, смотрит дату, штамп официального издания, адрес издания: «Берлин, Шарлоттенбург, 2, Уландштрассе, 7—8». Тогда мы показываем господину снимки на 6-й и 7-й страницах, разворот на две полосы: «Бомбы над Москвой»… Снимки ночных пожаров… Подпись: «Снимок показывает, насколько уничтожающа сила немецкой авиации»… Мы говорим, возможно сжатее, и о том, что было в других наших городах — в Ленинграде, в Сталинграде, в Севастополе и пр. Мы добавляем: «Теперь мы пришли с ответом»…    Штурмовые группы вгрызаются в город всё глубже... Тебе не будет ни часа спокойствия, Берлин. Мы говорили 22 июня 1941 года о том, что русские бывали в Берлине дважды: в 1760 и 1813-м, — и о том, что мы придем и в третий раз. И мы пришли. // Вс. ВИШНЕВСКИЙ, И. ЗОЛИН. Берлин, 26 апреля. (По телеграфу).    #галереябоевойславы #любимыйальметьевск #альметьевск #военнопатриотическоевоспитаниемолодежи  #2704гбс #достойноепоколениеальмет;10;1;0;421;;ГАЛЕРЕЯ БОЕВОЙ СЛАВЫ;11836
