ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-218793936_15351;https://vk.com/club218793936?w=wall-218793936_15351;https://vk.com/club218793936;https://vk.com/club218793936;2024-04-27 07:12;Всего ложечка Cleaner O2 и вся детская одежда чистая! ✨  Cleaner O2 экологичен, подходит для стирки детских вещей 💙    Заказать в 1 клик 👉 https://cleaner-o2.com/    ✨ Артикул на WB: 45373260  ✨ Код товара На Ozon: 427902369  Наш кислородный пятновыводитель можно использовать для стирки детских вещей и игрушек, дезинфицировать посуду. Подходит и для малышей!    🫧 Cleaner O2 не содержит в составе хлора и каких-либо агрессивных компонентов. Порошок гипоаллергенный!    Аккуратно налейте горячую воду (60 - 90°C) в ёмкость для очистки одежды. Насыпьте 1 столовую ложку CLEANER O2, положите одежду в ёмкость и оставьте замачиваться на 15-25 минут.    Затем просто смойте средство чистой водой! Готово!    Присылайте свои до/после в комментариях ⬇;34;6;9;718;;CLEANER O2 - Кислородный пятновыводитель;53627
https://vk.com/wall-147576672_60760;https://vk.com/club147576672?w=wall-147576672_60760;https://vk.com/club147576672;https://vk.com/club147576672;2024-04-27 05:09;"Сторонники Сергея Фургала теперь считаются террористами и экстремистами    Росфинмониторинг включил общественное движение ""Я/Мы Сергей Фургал"" в перечень террористов и экстремистов.  ☺ Эти террористы всё страшнее с каждым днём, то комментарий напишут, то лайк поставят, то с пустым плакатом выйдут на улицу, то пластиковый стаканчик уронят, то в компьютерной игрушке детской что-то построят и решат сломать, то мысленно что-то террористическое подумают. Благо лингвистическая экспертиза уже давно научилась трактовать мысли экстремистом и террористов и судить негодяев за это. А ещё есть сволочи, которые фоткаются в жёлтой куртке на фоне неба. Как жить-то, враги и предатели притаились на каждом шагу. Идут прямо мимо тебя по улице, а ты и не знаешь что они там в голове своей экстремистского думают. Хорошо, что охранители скреп работают каждый день, и вероятно уже через пару лет начнут в случайной толпе задерживать людей, которые что-то там в своей голове террористическое думали негодяи. Недолго осталось ждать, когда уже всех репрессируют.";5;1;0;668;;Рассказано Йошкар-Ола;17601
https://vk.com/wall-161294127_20419;https://vk.com/club161294127?w=wall-161294127_20419;https://vk.com/club161294127;https://vk.com/club161294127;2024-04-27 06:00;🌟 В ассортименте «Бубль-Гум» — новая торговая марка!  👼 Baby Land — производитель товаров для детской гигиены, ухода и кормления.  🌿 Качественных и абсолютно безопасных для самых маленьких. ❤️ С яркими, милыми, привлекательными и поднимающими настроение дизайнами для мальчиков и девочек.  🔥 В честь знакомства с брендом — скидки до 20%!  В акции участвуют: 🔸бутылочки, 🔸поильники, 🔸ниблеры, 🔸соски и пустышки, 🔸клипсы для пустышки.  👇Узнать полный перечень можно на нашем сайте: https://boobl-goom.ru/actions/225745/  👌 Спешите приобрести выгодно до 29.04 включительно!  #бубльгум #товарыдлядетей #детскиетовары #товарыдлямалышей #игрушкидлядетей #магазинигрушек #детскиеигрушки;2;0;0;375;;Бубль-Гум;39250
https://vk.com/wall-210948125_14090;https://vk.com/club210948125?w=wall-210948125_14090;https://vk.com/club210948125;https://vk.com/club210948125;2024-04-27 08:08;"Что взять с собой в дорогу малышу? 🚂✈🚗  Конечно же маленький ""чемоданчик"" с книжками-малышками ""МОИ ПЕРВЫЕ СЛОВА""! Компактный формат, полезное содержание, яркие картинки безусловно делают этот набор незаменимым в поездке и не только.  В наборе представлены книжки на темы: 📖Мое тело, 📖Мой дом, 📖Еда,  📖Игрушки, 📖Посуда, 📖Одежда.  Занятия с комплектом способствуют развитию мелкой моторики, пространственного мышления, логики и речи.  Издания выполнены из плотного и качественного картона, поэтому прослужат очень долго. 💯  Рекомендовано для детей от 6 месяцев.  Посмотреть подробнее  Wildberries - 161309411 Ozon - 1251017206";9;0;0;195;;"Детские книжки с окошками ""БимБиМон""";7193
https://vk.com/wall155292270_2492;https://vk.com/id155292270?w=wall155292270_2492;https://vk.com/id155292270;https://vk.com/id155292270;2024-04-27 05:45;Что может сделать каждый, чтобы спасти планету🌍  Осознание проблемы — первый шаг к действию. Сократите потребление пластика в своей жизни и уменьшите негативные последствия для будущего планеты.   Как это сделать:   ▫️ ОТКАЗАТЬСЯ ОТ ПЛАСТИКОВЫХ ПАКЕТОВ   Вместо них использовать мешочки-фруктовки, сумку-шоппер, рюкзак или авоську.  ▫️ ИСПОЛЬЗОВАТЬ МНОГОРАЗОВУЮ КРУЖКУ  Для производства одноразовых бумажных стаканчиков ежегодно вырубают 32 млн деревьев. Если любите пить кофе не дома, тогда вам просто необходим многоразовый силиконовый стаканчик.   ▫️ НЕ ИСПОЛЬЗОВАТЬ ОДНОРАЗОВУЮ ПОСУДУ   Старайтесь использовать многоразовую посуду на пикниках и праздниках. Объявите бойкот пластиковым соломинкам или приобретите многоразовую альтернативу.   ▫️ ПОКУПАТЬ ПРОДУКТЫ С РАЗЛАГАЕМОЙ УПАКОВКОЙ / ИЛИ УТИЛИЦИЗИРОВАТЬ УПАКОВКУ НА ПЕРЕРАБОТКУ  Выбирайте  GREENWAY товары некоторые  в таких упаковках, как картон, а еще стекло. И в магазинах есть прием  упаковки на вторичную переработку   ▫️ СДЕЛАЙТЕ ОБРАЗ ЖИЗНИ БОЛЕЕ ЭКОЛОГИЧНЫМИ   переходите на эко товары   магазины GREENWAY направлены на заботу об окружающем мире, поэтому я выбрала компанию эту для сотрудничества и помогаю людям реализоваться в сотрудничестве  GREENWAY   GREENWAY это не просто заработок, это отношения людей, это отношение к миру, это любовь к своей семье, эта любовь проявляться через покупку здоровых и безопасных товаров для дома ❤️  По сотрудничеству пишите в WhatsApp т. 89006712282;5;0;0;81;;Алла Морозова;4655
https://vk.com/wall-153692916_18235;https://vk.com/club153692916?w=wall-153692916_18235;https://vk.com/club153692916;https://vk.com/club153692916;2024-04-27 09:20;Набор столовых приборов 😍🍴🍽️ Цена_350₽🥊🥊🥊🥊🤯🤯🤯 Идут в  подарочную упаковка 🎁🥰🥰  Набор чайных ложек - 6 штук. Набор столовых ложек - 6 штук. Набор столовых вилок - 6 штук. Комплект кухонных принадлежностей из 18 штук предметов, куда входят красивые ложки, вилки  серебряного цвета с золотым напылением, станет роскошным дополнением для сервировки как праздничного, так и ежедневного стола и готовки дома. Эти столовые приборы можно мыть в посудомоечной машине. Сервиз из нержавеющей стали упакован в тканевый мешочек - органайзер. Товары для дома нашего бренда безопасны, прекрасно подходят для кормления малыша из детской столовой посуды - тарелки или чашки. Эти столовые приборы не хуже ложек, вилок и ножей с ручкой из такого материала как мельхиор. Такая посуда является идеальным подарком для любого праздника: на день рождения, свадьбу, Новый год. Этот подарок может быть как мужской, так и женский.;2;4;0;61;;TV-Товары на Садоводе | 13-51;45109
https://vk.com/wall-217768587_3424;https://vk.com/club217768587?w=wall-217768587_3424;https://vk.com/club217768587;https://vk.com/club217768587;2024-04-27 05:16;Внимание! Внимание! Внимание!  Затейница Алиса   объявляет День Ничегонеделания!   2 мая!  Приглашаются все девочки и мальчики. Обязательно приходите в домашней одежде или пижамках!  Вас будут ждать открытые кинозалы, выставка любимых игрушек, фотосушка домашних питомцев, а если вы устанете ничего не делать, то можно будет отдохнуть! для вас гамаки, матрасики, раскладушки, палатки для уединения и спальные мешки!  Алиса угостит всех вкусным соком!  (для украшения стаканчиков потребуются бусины, наклейки, картинки)  А может вы захотите вместе с Алисой сыграть на музыкальных инструментах? можете принести свой или посетить нашу мастерскую для их изготовления.  Итак, можно принести: надувной матрасик, большую мягкую игрушку, фотографию домашнего питомца, детскую палатку, музыкальный инструмент, украшения для стаканчика.  #СадДетства #ФИПДюймовочка #ПереговорнаяПлощадкаДюймовочка #ЛРОСДюймовочка#ВместеСРодителями #РеализуемДетскийЗамысел #ПереговорнаяПлощадка;12;0;0;56;;"МАДОУ ""ЦРР-д/с №18 ""Дюймовочка""";359
https://vk.com/wall-222714876_392;https://vk.com/club222714876?w=wall-222714876_392;https://vk.com/club222714876;https://vk.com/club222714876;2024-04-27 08:52;Сегодня 27 апреля , желаем вам отличного дня🌸 Рады встречать гостей с 10:00-21:00.  УЖЕ ЗАВТРА от  КОНДИТЕРСКОЙ СТУДИЕЙ 5.20 в 12:00 приглашаем всех деток на увлекательный мастер класс по украшению капкейка или трайфла🧁 Только натуральные ингредиенты☺️  На выбор ребяткам будет:  🧁Капкейк (Шоколадный или ванильный, с карамельной начинкой и шапочкой из крем чиза) 🍧Cake to go (розовый стаканчик) или 🍧Трайфл (прозрачный стаканчик). Оба эти десерта очень похожи на бисквитный тортик.  Ребята сами по своими желанию украсят десертик конфетти, пищевой печатью или кремом✨  Где: ЖК ПОГОДА, Детская игровая комната «Салют» Когда: 28 апреля в 12:00 Продолжительность: 1 час  Стоимость: 700₽  Предварительная запись обязательна ☝🏼;1;0;0;52;;САЛЮТ Детская ИГРОВАЯ ЖК Погода г.Пермь;713
https://vk.com/wall-217382230_360;https://vk.com/club217382230?w=wall-217382230_360;https://vk.com/club217382230;https://vk.com/club217382230;2024-04-27 03:09;Как прошли Библиосумерки в п.Стекольный👍  В минувшую субботу библиотека-филиал № 1 п. Стекольный присоединилась в ежегодной Всероссийской акции «Библионочь - 2024». В этом году она прошла под девизом «Читаем всей семьей!» и была посвящена Году семьи. Сотрудники библиотеки подготовили интересную и познавательную программу. 😊  В рамках акции в преддверии Вербного воскресенья, для воспитанников оздоровительного санатория п. Стекольный состоялся мастер – класс «Верба, вербочка – чудо веточка». Библиотекарь познакомила участников с историей христианского праздника. Вербное воскресение – торжественный и светлый праздник. Дети узнали много интересного о традиции русского народного семейного праздника, а затем приняли участие в мастер-классе по изготовлению поделки из веточек, тыквенных семечек и гофрированного картона. Ребята усердно трудились и, конечно же, фантазировали! В итоге получились замечательные работы, которые ребята забрали с собой. Все участники получили заряд положительных эмоций.   На протяжении всего вечера юные читатели участвовали в различных мероприятиях: читали странички веселых рассказов из детского журнала «Веселые уроки», играли в настольные игры и принимали активное участие в викторинах, посвященные семье. У гостей и участников акции имела успех выставка творческих работ мастера рукоделия, жительницы поселка Лещенко Тамары Ивановны. Она представила замечательные произведения ручной работы, выполненные в разных техниках. Сделанные своими руками, они хранят тепло души, создают уют в доме, радуют близких. Помимо эстетического наслаждения выставка помогает найти увлечение по душе, определиться с хобби на всю жизнь.   Отличным развлечением для молодежи стал библиотечный квест. Его участники должны были составить первую часть цитаты Рэя Брэдбери «Я получил образование в библиотеке. Совершенно бесплатно». Для этого необходимо было пройти ряд заданий: правильно определить автора одного из шедевров русской и зарубежной литературы, найти книгу на полке и др. Занимаясь поиском, ребята учились свободно ориентироваться в книжных лабиринтах. Не обошлось без курьезов, что добавило веселья и непринужденности в игровое приключение.  Участники игровой программы «Некогда скучать» познакомились с идеями для совместных занятий в семейном кругу, веселых способах провести время, вооружившись воздушными шариками, бумажными стаканчиками и другими нехитрыми инструментами и приспособлениями.   Библиотечный праздник подарил отличное настроение!  #библиосумерки2024 #хасынскаяцентрализованнаябиблиотечнаясистема;6;1;2;33;;Хасынская централизованная библиотечная система;552
https://vk.com/wall-217056483_929;https://vk.com/club217056483?w=wall-217056483_929;https://vk.com/club217056483;https://vk.com/club217056483;2024-04-27 06:12;Как приятно видеть горящие глаза детей, их воодушевление и энтузиазм, когда они возятся на мини-огородиках и наблюдают за результатами своего труда! «Овощная» тема чрезвычайно популярна в детских садах, и год от года эта популярность только растёт. Самое простое – это поставить в стаканы с водой репчатый лук и наблюдать, как он, сперва робко, а потом быстро и решительно, выпускает зелёные перья. Но и этот простейший «огород на окошке» можно оформить с фантазией, сделать этот нехитрый процесс увлекательным для ребят!  #МБДОУНовоангарскийДетскийСадЗолотойПетушок;7;0;0;30;;"МБДОУ ""Золотой петушок""";166
