ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-52025462_404826;https://vk.com/club52025462?w=wall-52025462_404826;https://vk.com/club52025462;https://vk.com/club52025462;27.04.2024 7:45;49 способов впечатлить девушку:  1. Мимоходом вставляй в свои речи фразы, которые заставят ее поверить, что ты не так прост. Например: «Во время моей работы над седьмым скрипичным концертом…», «Таких больших убытков наш род не нес с эпохи Ивана Грозного…», «… и тут, прикинь, заходит мой дворецкий…», «Как раз перед тем, как принять участие в шестидневном велосипедном марафоне…»  2. Вози в машине CD Сибелиуса, «Раммштайна», хора им. Г.Веревки, Ани Лорак и песни из мультфильма «Крокодил Гена и Чебурашка». На вопрос девушки, что это такое, говори, что это все — твоя любимая музыка.  3. Отправляясь в клуб или на вечеринку, положи в карман какую-нибудь мелкую пушистую хрень с глазами. Обнаружив привлекательную барышню, вручи это со словами: «А вот он очень хочет с вами познакомиться». Сказать «нет» плюшевому зайцу сможет только абсолютно безсердечная женщина без чувства юмора, а тебе так и так подобная особа ни к чему.  4. В ресторане спроси у официанта, подают ли у них Potage poireaux et rommes de terre и Salad d’Endives Noix et Roquefort? Особенно неожиданно это прозвучит в какой-нибудь тошниловке с китайской или армянской кухней.  5. Объясняйся только гекзаметром. «Что ты делаешь вечером этим, подруга моя, расскажи-ка? // Если свободна, так, может, отправимся в бар мы? // Чести подобной доныне еще не стяжал я, несчастный…»  6. Отказывайся ходить на фильмы «Детям до 18-ти». Смутившись, признайся, что тебе всего 17.  7. Спроси ее как-нибудь: «А кто у нас сейчас президент?» Когда она, изумленно на тебя посмотрит, ответит кто, покачай головой и скажи: «Ну надо же, какая забавная фамилия!»  8. Покажи ей свои рентгеновские снимки. Попутно объясняй: «Здесь мне 10 лет» или «А это я на выпускном».  9. Скажи ей, что никогда не смотрел «Иронию судьбы, или С легким паром!». И «17 мгновений весны» — тоже.  10. Назови ее именем что-нибудь. Если звезду не получится, то хотя бы файл, с которым ты сейчас работаешь в Word'e, и обязательно сообщи ей об этом.  11. Если она, пытаясь поддерживать разговор на интересующие мужчин темы, поинтересуется, за какую футбольный клуб ты болеешь, ответь, что за угандийскую «Виллу».  12. Дай ей победить тебя в армрестлинге и предложи подписаться на развращенную интеллигенцию.  13. Завяжи ей глаза, возьми за руку и долго веди за собой по путанному маршруту. В конце пути, когда она уже будет сгорать от нетерпения, остановись и разреши ей снять повязку. За минуту до этого так же нацепи себе на глаза платок. На вопрос «Где это мы?» разведи руками: «Не знаю, я и сам не видел, куда мы шли».  14. Четыре часа ночи — это лучшее время, чтобы позвонить своей девушке и прочитать ей прекрасный стих Николая Гумилева про озеро Чад, на котором бродит таинственный жираф. Завершив декламацию, выключи телефон до утра.  15. Если ты ждешь ее визита, пускай она застанет тебя за твоим излюбленным занятием — составлением икебаны, лепкой из глины, чеканкой или попыткой вдохнуть жизнь в созданного тобой гомункулуса.  16. В ресторане, после того как вы поели, сам убери посуду и помой ее. Объясни свой поступок старой холостяцкой привычкой.  17. Впервые зазвав ее к себе в гости вечером, всю ночь проиграй с ней в World of Tanks.  18.Обедая в ресторане, выложи на тарелке из оставшихся кусочков ее имя.  19. Каждый день шли ей по письму. Никаких мейлов! Пиши на бумаге. Гусиным пером. Но без «ять» и «ижицы».  20. Когда она впервые попробует тебя поцеловать самостоятельно, отвернись и скажи: «Да знаю я вас, женщин, вам всем только одного надо!»  21. Обращайся к ней только на вы.  22. Воплощай в жизнь тексты шлягеров. К примеру, продай свой дом, продай картины и кров и на все деньги купи целое море цветов. Поэты-песенники плохого не посоветуют.  23. Измерь ее портновским метром с ног до головы. Запиши полученные размеры. Не объясняй, зачем ты это сделал. Загадочно улыбайся.  24. Устроив романтический ужин, насыпь ей в бокал какого-нибудь безвредного порошка и заставь выпить, говоря, что это приворотное зелье, после которого ваша любовь станет еще крепче.  25. Придумывай ей разные интересные прозвища. Например, Кузька, Вифания или Штрувельпетер.  26. Отправляясь к ней в гости, позвони и спроси, не нужно ли что по дороге прикупить? Выслушав про хлеб, молоко и сахар, купи осьминога, семечек и шампанского.  27. Вообще чаще пользуйся службой курьерской доставки. Особенно той, в которой посылки разносят такие специальные люди, одетые гигантскими розовыми зайцами.  28. Вырежи ее и свое имя перочинным ножом на бетонном столбе.  29. Внезапные подарки — оружие редкой эффективности. Может быть, ей и даром не нужен этот праздничный набор для харакири, который ей вдруг подал на тарелке подговоренный тобой официант, но она все равно будет приятно удивлена.  30. Сообщи ей, что ты девственник. Ну и что, что уже два раза разведен? Это были чисто платонические отношения.  31. Покажи ей заверенное нотариусом завещание, по которому ей достается все твое движимое и недвижимое имущество.  32. Нарисуй ее портрет. Уж как умеешь. Можно даже шариковой ручкой на клетчатом листочке из тетради. Главное — вставь полученное произведение в золотую раму с резьбой. Пришли ей на место работы-учебы с посыльным.  33. Стоит ей замолчать всего на несколько секунд, сразу же задавай вопрос: «О чем это ты задумалась? Мне правда интересно. Последнюю минуту ты кажешься такой отстраненной…»  34. Назначая свидание, подбирай места с любовью и старанием. Например хорошо сработают музей палеонтологии, выставка свиней, районный конкурс чтецов-декламаторов, металлургический цех на заводе у знакомого.  35. Купи ей «Ламборгини Дьябло» розового цвета.  36. Придумай какое-нибудь особое место, куда ты всегда будешь целовать ее при встрече. Место при этом желательно выбирать такое, доступ к которому не затруднен разнообразными одеяниями, ну и хорошо бы вас при этом еще не забирали в отделение за оскорбление общественной нравственности. Например, в шею у затылка. Или в запястье.  37. Позвони ей в разгар рабочего дня, уговори все бросить и срочно встретиться, так как ты должен показать ей что-то необычайно важное! Назначь встречу у входа в зоопарк, схвати девушку за руку и, не отвечая на вопросы, заставь добежать до клетки с енотом-полоскуном. Остановись. Покажи на енота пальцем. Воскликни: «Ну разве он не прелесть?! Я не мог уйти отсюда, не показав его тебе!»  38. Научись ходить на руках. На женщин это действует потрясающе, переворачивает их представление о мире. Особенно хорошо действует при ссорах, когда она начинает кусаться, вставай на руки, расхаживай по помещению и мрачно молчи. Чтобы свирепо посмотреть в твои бесстыжие глаза, ей придется сесть на пол, а это уже само по себе действует умиротворяющее.  39. Оборудуй машину механизмом быстрой раскладки переднего пассажирского сиденья. Кнопку, включающую это интересное и полезное устройство, пристрой поближе к себе. Особенно эффектно будет на нее нажать где-нибудь на крутом повороте на скорости 130–140 км/ч.  40. Сделай вид, что считаешь ее маму страстной собирательницей всякого рода сомнительных анекдотов. Всегда имей в запасе пару-тройку свежих, чтобы при встрече с родительницей восклицать: «Нет, Анна Ивановна, при всем вашем опыте этот-то, ручаюсь, вы еще не слышали!»  41. Регулярно поздравляй ее с профессиональными праздниками: работников мясомолочной промышленности, шахтеров, актеров, вахтеров, а также с Международными днями защиты детства, старости и идущих на нерест китов. При этом забывай про Восьмое марта и Новый год.  42. Консультируйся с ней по самым пустяковым вопросам. «Как ты думаешь, сахар мне лучше размешивать по часовой стрелке или против?», «А это ничего, что я ставлю тапочки носками к кровати?». В то же время не спрашивай совета в более глобальных вещах: решение перекрасить ее машину в оранжевый цвет, приглашение твоих приятелей на день рождения ее матери и покупка турпутевки на двоих в зимнюю Монголию.  43. Задавай ей периодически вопросы, которые заставляют задуматься. Например, «Почему число Пи никогда не кончается?», «Как ты думаешь, мы одиноки во Вселенной?», «Почему вода падает сверху вниз, а не наоборот?». Важно, чтобы эти вопросы звучали спонтанно. Например, за две минуты до ее оргазма.  44. Утром приноси ее постель к чашке кофе, стоящей на кухонном столе.  45. Предложи девушке выйти за тебя замуж, а потом не приди на свадьбу. Может получиться очень весело.  46. Предложи ей создать новый язык, который бы могли понимать только вы двое. Начни бормотать на тарабарщине, не дожидаясь согласия.  47. Серьезным голосом скажи ей как-нибудь, что задумываешься о перемене пола. На расспросы не отвечай, замкнись, уйди в себя.  48. Разговаривай во сне на иностранном языке. Например, на хинди или эстонском.  49. Сбрей себе брови.;133;82;1;4874;;Развращенная интеллигенция;204723
https://vk.com/wall-198000170_237891;https://vk.com/club198000170?w=wall-198000170_237891;https://vk.com/club198000170;https://vk.com/club198000170;27.04.2024 0:00;"В каждом доме, где мурлычет кошка, она становится звездой семейного круга. Этот мягкий клубочек радости всегда в центре внимания, и каждый стремится порадовать его чем-то особенным. Кошки редко откажутся от сыра или колбасы, а иногда даже от конфеты или мороженого. Особенно сложно сказать ""нет"" милому обольстителю, который, стоя на задних лапках и смотря на тебя глазами кота из ""Шрека"", умоляет о лакомстве.    Многие хозяева замечают, что кошки особенно любят блины. Но стоит ли угощать их этим лакомством?    Давайте разберемся, подходят ли блины для кошачьего меню.  Перед тем как включать в рацион кошки новые продукты, всегда стоит проконсультироваться с ветеринаром. Специалисты обычно не рекомендуют кормить кошек мучным, жирным, сладким и жареным, и блины включают в себя все эти качества. Так что вывод напрашивается сам собой – блины кошкам не подходят. А какие проблемы могут возникнуть у кошки от употребления блинов?    Молоко и сметана, которые часто используются в приготовлении блинов, могут нанести вред печени кошки, поэтому их следует исключить из ее рациона. Блины, приготовленные на масле, содержат много жира, который кошки не могут переварить, так как в их организме нет нужных ферментов. Мучные изделия, такие как блины, могут вызвать у кошек проблемы с пищеварением, вплоть до ожирения и сердечных заболеваний. Сладкие блины могут привести к нарушениям в работе пищеварительной системы и даже к сахарному диабету.    Употребление блинов может привести к следующим проблемам у кошки:    - Нарушение обмена веществ, ослабление иммунитета и набор лишнего веса.  - Вздутие живота, метеоризм и кишечные колики.  - Расстройства желудочно-кишечного тракта.  - При кормлении пищей со стола, включая блины, у животного могут развиться хронические заболевания, апатия и вялость.    Лакомство блинами может вызвать у кошек заболевания почек и печени, такие как панкреатит.    Но неужели кошкам совсем нельзя блины?  Некоторые владельцы кошек утверждают, что их питомцы, обожающие блины, никогда не болеют и живут долго и счастливо. Вот пример: ""Моего пушистого любимца зовут Персик, и ему уже почти 10 лет. Он удивительный кот, полный энергии и ума. Он обожает блины. Как только я начинаю их готовить, он тут же прибегает ко мне и начинает умолять о лакомстве. И когда первый блин готов, Персик исполняет свой милый просительный танец. Он всегда первый пробует блин и благодарит меня мурлыканьем. Его страсть к блинам началась с детства. Когда он был еще котенком, и я впервые испекла блины, он был в восторге!"" Такие истории можно найти много, и они доказывают, что бывают исключения из правил.    Так что же делать?  Если ваша кошка действительно не может жить без блинов, можно иногда позволить ей немного полакомиться – например, раз в год на масленицу. Но в остальное время лучше защитить ее от вредной пищи. Вместо обычных блинов можно приготовить специальные ""мяу-блины"" для кошек. Вот рецепт:    **Рецепт ""мяу-блины"" для кошек:**  1. Натереть замороженную говядину на терке.  2. Добавить морковь или другие полезные для кошек овощи.  3. Измельчить листья салата или граната.  4. Добавить зеленый горошек.";13;2;0;4707;;Садитесь ржать!;193390
https://vk.com/wall-164126966_30396;https://vk.com/club164126966?w=wall-164126966_30396;https://vk.com/club164126966;https://vk.com/club164126966;27.04.2024 8:00;💙 Новинки в группе [club202534771|Садовод 9-21 Посуда и все для хозяйство]😻  Контейнер для хранения круп ✔️Цена: 899₽ на 7 банок Идут без наклейки  Набор контейнеров для хранения сыпучих продуктов , сэкономит достаточно места - прямоугольная форма и модульная конструкция позволяют составлять контейнеры один на другой. Контейнеры выполнены из прочного прозрачного пищевого пластика, через который хорошо видно содержимое и объем. Благодаря силиконовому уплотнителю крышка плотно прилегает, что способствует сохранению свежести и аромата продуктов надолго. Герметичные крышки с замком easy lock надежно закрывают контейнер сохраняя продукты свежими и без посторонних запахов. Сыпучие продукты в таких контейнерах остаются рассыпчатыми и не слеживаются, так как крышка не позволяет влаге проникать внутрь. Контейнеры удобно размещать в глубоком ящике кухонного стола и в то же время они отлично смотрятся на полке или столешнице. Подходят для мыть в посудомоечной машине. Продукт изготовлен из высококачественного пищевого пластика.;0;0;0;2767;;РЫНОК САДОВОД ПОСТАВЩИКИ НОВИНКИ;29723
https://vk.com/wall-185360491_299323;https://vk.com/club185360491?w=wall-185360491_299323;https://vk.com/club185360491;https://vk.com/club185360491;27.04.2024 8:00;Крым, Алупка, Гостевой Дом Форест ВИД НА МОРЕ 🌊И ГОРУ АЙ-ПЕТРИ ⛰ ПАРКОВКА 🚙 КАФЕ 🍽 +7 978 560 07 07 +7 989 360 07 07 📞  WATS APP VIBER  ☀☀☀☀☀☀☀☀☀☀☀☀☀☀☀☀☀☀☀ ‼Самый уникальный климат для оздоровления в Алупке‼ Галечные пляжи - природный массаж ног, 15 минут на прогретых камушках=спа-процедура, игры с галькой для детей - развитие мелкой моторики. Кипарисы (растут на нашей территории и в округе) - способствуют эмоциональному равновесию, устраняют раздражительность! Морской воздух - природный антиоксидант, насыщает организм чистым кислородом. А всё это в комплексе - заряжает позитивными эмоциями и продлевает молодость! Прекрасная и солнечная погода, море, пение птиц, потрясающие виды с балконов наших номеров и террасы. Прогулка до моря и Воронцовского дворца займёт 10-15 мин. Удобное месторасположение нашего Дома позволит быстро добраться до многих достопримечательностей и центров развлечений. В шаговой доступности продуктовые магазины, кафе, фруктовые лавки, аптека, банк, автостанция.  Комнаты нашего дома оснащены всем необходимым - ТВ, wi-fi, кондиционер, холодильник, электрочайник, набор посуды для чаепития, шкафы, тумбы, кровати, санузел с душевой кабиной, фен, набор мини косметики. При выезде всем гостям приятные подарки 🎁  Дополнительные места предоставляются бесплатно, если это предусмотрено категорией номера: Стандарт - 2+1, Панорамный с балконом - 2+2, Двухкомнатный - 2+3 Парковка на территории, сауна с мини бассейном, мангал. К нам можно с домашними питомцами весом до 7 кг 🐶🐱🐢🐰 Звоните и пишите - мы подберём самый подходящий вариант для каждого!;54;30;0;2252;;Отдых и жильё на море;297537
https://vk.com/wall-150079080_748976;https://vk.com/club150079080?w=wall-150079080_748976;https://vk.com/club150079080;https://vk.com/club150079080;27.04.2024 1:30;Сынок 10 месяцев 9 кг и 74 см И так у нас с 8 месяцев ,не меняется ничего  Все говорят ,что худенький ,хотя на последнем приёме у педиатра, медсестра сказала ,что выглядит нормально На гв и прикорм, уже даже кушаем со стола все хорошо Я понимаю, что стал активным ,везде ползает и что возможно вес не набирается, но рост то почему стоит на месте  Забыла спросить у педиатра ,может мне смесь вести до года ,переживаю очень ребёнок первый!;1;2;4;1334;;Подслушано у беременных и мам;58018
https://vk.com/wall-222582979_8682;https://vk.com/club222582979?w=wall-222582979_8682;https://vk.com/club222582979;https://vk.com/club222582979;27.04.2024 9:00;Судьба жестоко поглумилась над Сергеем. (Вторая часть)  Начало https://vk.com/wall-222582979_8611  Второй «приведенька», поняв, что его убежище раскрыто, выскочил из-за большого гранитного памятника и побежал, петляя между могил. Сергей быстро ковылял следом. Второй зеленый юркнул за густую черемуху и исчез… С другой стороны, не выскочил.    Сергей несколько раз обошел вокруг дерева, и на крону фонариком от телефона светил. Шустрый призрак словно сквозь землю провалился.    — А-у-у-у, — раздался вдалеке все тот же вой.    Сергей как мог пригнулся, и прячась за надгробиями двинулся на звук. Впереди замелькало зеленое свечение и вновь погасло. Почти два часа сторож словно собачка гонялся за зелеными «призраками», но когда он был почти рядом, свечение исчезало.    Периодически возникало желание позвонить напарнику или знакомому участковому, но было стыдно в первое же дежурство показать свою слабость перед хулиганами, вымазавшимися фосфором.    Уже минут двадцать Сергей сидел рядом с центральной аллеей, прячась в тени сирени. Ему хорошо была видна дорога и развилка, света почти выросшей луны вполне хватало. Где-то у реки снова раздался вой. Сторож остался сидеть. Он уже понял, что те двое его водят по территории старого кладбища, а раз один далеко, то второй должен быть рядом, чтобы шуметь, когда сторож доберется до реки.    Вдруг совсем рядом раздался треск веток под ногами. Светящийся прошел в паре метров от Сергея и встал на развилке, в том месте, где умер Степаныч. «Призрак» пооглядывался, достал сигареты и закурил. В свете огня зажигалки Сергей увидел вполне молодое человеческое лицо.    Со стороны нового кладбища к светящемуся подошел седой мужчина в черном костюме и похлопал по плечу. «Призрак» обернулся и попятился. Из руки выпала сигарета. Седой обхватил молодого руками и сказал:    — Я тебя догнал.    Сергей вылез из-под дерева, еще не веря своим глазам, и хромая припустил к странной паре. Седой, по-прежнему сжимая зеленого в стальных объятиях, повернулся к с подбегающему сторожу, улыбнулся, подмигнул и растворился в воздухе вместе со своей жертвой.    — Степаныч, — заорал Сергей, — верни этого поганца. Я его полиции сдам!    Ответом была тишина. Охранник на всякий случай все обошел, подсвечивая себе фонариком, но ничего не нашел. От реки вновь раздался вой.    — Теперь этих дебилов от настоящих привидений спасать надо, — чертыхнулся Сергей и двинулся вглубь старого кладбища, по пути набирая номер участкового.    ***    Парни сидели в беседке большого ухоженного сада. Двое вопросительно смотрели на третьего, явно признавая в нем вожака.    — Антон, надо Коляна искать, — в который раз проговорил черноволосый крепкий парень. — Я реально за него волнуюсь. Мамаша его уже сто раз мне звонила.    — Да задрал ты со своим Коляном, — взъярился вожак, — он с кладбища свалил, тебя и нас бросил. А если бы сторож на новую часть приперся? Ты, Витек, как Коляна встретишь, втащи ему в рыло за дезертирство.    — Главное, что все сделать успели, — подал голос третий, белобрысый парень, который за последние полчаса успел ополовинить бутылку коньяка.    Он не сводил глаз с пакета, который держал на коленях Антон. Там лежало сокровище, которое сделает их богатыми.    — Санек, ты завязывай с утра бухать, — скомандовал вожак, — а то спьяну проболтаешься кому-нибудь.    — Ты че, Тоха? Я — могила!    — Ага, — заржал Антон, — сегодня ночью могила копался в могиле!    — Тихо, ты, — зашикал Санек, — вдруг твой батя услышит.    — И че? Мы здесь сила! Мы здесь власть!    Витек глядел на самоуверенного вожака и наконец отважился спросить:    — Тоха, а ты знаешь кто новый кладбищенский сторож?    — Кто?    — Тот мудозвон из ЧОПа, которому ты осенью ногу прострелил.    — Опаньки, — восторженно потер руки мажор, — значит сегодня ночью пойдем ему мстить за то, что он в тебя из травмата стрелял. И прострелим ему вторую коленку, только из настоящего.    Хохот отморозков было слышно далеко за пределами участка главы поселковой администрации.    ***    Рассвет застал на кладбище пеструю компанию. Возле раскопанной могилы Анны Семеновны стояли Сергей, Андрей и участковый Дмитрий.    — Получается, пока я на старом участке тех двоих гонял, остальные тут старушку обворовывали, — сетовал Сергей.    Венки были разбросаны по сторонам и засыпаны землей. Рядом с новеньким деревянным крестом валялась крышка гроба. Сама Анна Семеновна лежала в своем последнем прибежище, присыпанная комьями земли. На груди, на синем платье, отпечатался рельефный след кроссовка. Словно кто-то наступил старушке на грудь и что-то выдергивал из мертвых пальцев. Лица покойной не было видно. Вандалы швырнули на него букет сирени, который стоял в вазе рядом с могилой.    — А что у нее ценного в гробу было? — спросил участковый.    — Это надо у ее подружек спрашивать. Их Вадим знает, — ответил Сергей. — А что на счет Степаныча?    — Так он на месте, его не раскопали, — удивился вопросу Дмитрий.    — Я сам видел, как он парня схватил и в воздухе с ним растворился!    — Серый, у тебя было первое дежурство, — заговорил Андрей, — я понимаю, место тут впечатляющее, но тебе показалось. Ты обезболивающие какие-нибудь принимаешь?    — Нет. И глюками не страдаю.    — Давайте сделаем так, — сказал участковый, — если придет заявление на пропажу молодого мужчины, то возьмем его вещь и прочешем кладбище с собакой. Если ничего не найдем, сделаем запрос на эксгумацию Степаныча. Только причину надо приличную придумать — приведение к протоколу не пришьешь.    Обсудив еще некоторые детали, мужчины привели в порядок могилу Анны Семеновны и разошлись по своим рабочим делам.    Участковый выяснил, что в могилу старушке положили ее семейную реликвию — деревянную икону XVI века. Дочка Анны Семеновны верующей не была, но мать любила, и потому последнюю волю усопшей исполнила беспрекословно: положила в гроб икону богородицы и большой золотой крест. Прадед старушки был священником, еще до революции.    Дальше в семье священные реликвии передавать было некому, внуков у Анны Семеновны не было, а дочь жила обеспеченно. Про то, что такие сокровища положат в гроб, секрета никто не делал. Теперь икона и крест исчезли. Фото реликвий были разосланы во все ломбарды и ювелирные лавки области. Одна икона стоила почти миллион рублей…    Сергей обошел кладбище, но больше существенных повреждений не нашел. Только где они с «приведеньками» в догонялки бегали, венки поправил.    За день ничего необычного и страшного не произошло. В обед пришла жена, принесла борщ в большом термосе и котлеты на ужин. Про ночные приключения Сергей ей ничего не сказал, пугать не хотел.    К его удивлению, в десятом часу вечера в сторожку пришла целая делегация: бывший коллега Андрей, напарник Вадим и участковый Дмитрий.    — Мы решили тебе ночью компанию составить, — пояснил Андрей, — уж очень красочно ты прошлую смену описал. А в адекватности твоих мозгов я не сомневаюсь.    — А еще мы дистанционную камеру видеонаблюдения взяли и две фотоловушки, — похвастался Вадим. — Сейчас установим в самых интересных местах.    — А где у вас ночью на кладбище самые интересные? — с усмешкой поинтересовался участковый.    — На развилке, — начал перечислять Сергей, — участок Анны Семеновны и Степаныча, и еще вид от крыльца сторожки.    — Тогда приступаем к операции «Зомби», — подвел итог Андрей. — всем разойтись для установки техники.    Позже мужчины вновь собрались в сторожке. Хотя Анну Семеновну уже обокрали, но Андрей и участковый настаивали на том, что «преступник всегда возвращается на место преступления». Тем более если они виновны в смерти Степаныча, то захотят извести нового сторожа за стрельбу.    Мужчины пили чай и резались в подкидного дурачка. Тихонько бормотал телевизор на тумбочке. Шел второй час ночи. Вдруг с улицы раздался свист, на окне всколыхнулась занавеска и в комнату влетела бутылка с горящей тряпкой, торчащей из горлышка.    — Вот, суки, — выругался Вадим, схватил стоящий в углу огнетушитель и залил пеной сразу половину сторожки.    — Я смотрю, они серьезно настроились, — сказал Дмитрий. — Это уже покушение на убийство. Выходим.    Первым на крыльцо вышел Сергей. За надгробиями стояли три светящиеся зеленью фигуры. Вдруг раздался выстрел, дверной косяк брызнул снопом щепок. Сторож пригнулся и скатился со ступенек. Мужчины выскочили на крыльцо, доставая оружие. Вадим и Сергей пневматику, а Андрей и Дмитрий боевые пистолеты, положенные по должности.    Увидев такой перевес противников, «призраки» рванули вглубь старого погоста.    — Саня, Витек, вы бегите к реке, — начал отдавать на бегу распоряжения Антон, — вплавь уходите. Я через новый участок уйду.    — Тоха, мне страшно, — заныл, задыхаясь от бега Саня, — нас поймают.    — Батя отмажет, — прорычал мажор. — Расход.    Антон резко рванул в сторону, на ходу переворачивая фосфорную накидку черной стороной наружу, чтобы растворится в темноте. Нырнув под раскидистую черемуху, он затаился. Топот погони уходил в сторону реки.    Дмитрий заметил, что один из троицы отделился от остальных и исчез. Он схватил Сергея за рукав и остановил. Обернувшемуся Андрею участковый махнул в сторону реки, и ЧОПовец с Вадимом продолжили погоню за двумя светящимися.    Дмитрий с Сергеем стояли не двигаясь.    — Третий тут, рядом, — прошептал участковый, — тоже затаился. Ждем.    Пару минут было тихо, потом со стороны реки раздался негромкий выстрел — пневматика Вадима.    Под раскидистой цветущей черемухой раздался треск веток. Могильный вор выбирался из своего укрытия. Темная тень двигалась к центральной аллее. Мужчины начали красться следом. Под ногой Сергея хрустнула старая шишка, тень оглянулась и припустила к развилке.    — Стой, стрелять буду, — крикнул Дмитрий и сделал предупредительный в воздух.    Тень замерла и обернулась. Почти полная луна осветила драгоценного сынульку главы администрации. Он поднял свой пистолет и направил его на Сергея.    — Зря я тебя, гнида ментовская, осенью насмерть не пристрелил. Хана тебе…    Не успел поганец договорить своей угрозы, как за его спиной наметилось движение и от сильного удара по голове мажорик завалился набок. Пистолет выпал из его ослабевшей руки. Над ним, уперев руки в бока, стояла полупрозрачная женщина в голубом брючном костюме, с пышной седой прической. Сергей оторопело вытаращился на приведение.    — Мама, — прошептал он.    Покойная теща выставила вперед руку, как бы запрещая мужчинам приближаться к ней и лежащему Антону. Со стороны нового кладбища показался еще один человек… Не человек — призрак. Анна Семеновна шла в грязном синем платье, с отпечатком обуви на груди. В руке она несла ветку сирени, толщиной в палец.    Подойдя к лежащему Антону, который со страху уже намочил штаны, она наклонилась над ним и проговорила:    — Ты мне цветы на лицо швырнул, а это твой букет!    Старушка размахнулась и воткнула свою ветку в глаз мажора. Глубоко. Насмерть.    Теща посмотрела на Сергея, опустила руку и сказала:    — Ты здесь в безопасности, сынок. Спокойно работай.    После этих слов обе женщины растворились в воздухе, а с Сергея словно спало оцепенение. Он обернулся, чтобы спросить участкового, видел ли он все своими глазами, но Дмитрий лежал в глубоком обмороке.    ***    Приехавший наряд полиции несколько часов осматривали место гибели Антона.    Следователь, которого давно прикормил глава поселка, не верил в хулиганство и несчастный случай, приведший к гибели «такого хорошего мальчика, как Антоша».    Сергей с Дмитрием просмотрели запись с фотоловушки, которая снимала развилку, еще до приезда полиции. На экране четко было видно, что Антон шел по дороге, потом подошел к сирени, отломал ветку и со всего маха воткнул ее себе в глаз. Отец поганца бесновался, при таких доказательствах обвинять было некого.    Саню и Витька привели со стороны реки. Они добежали до берега, но в холодную весеннюю воду лезть побоялись. Там их Вадим с Андреем и скрутили. Кольку объявили в розыск. Через несколько дней парни признались, что это Колян ночью у развилки напугал старого охранника. Под предлогом того, что хулиганы убрали подельника и прикопали его в свежей могиле, чтобы не делить добычу на четверых, был выписан ордер на эксгумацию Степаныча.    Когда раскопали и вскрыли гроб, Степаныч спокойно лежал на своем месте, скрестив руки на груди. А тело Кольки нашли под самим гробом. Улик, доказывающих, что это друзья его убили и закопали не было. Причиной смерти парня записали обширный инфаркт. В семнадцать-то лет. Как тело попало под гроб, осталось загадкой.    Икону и крест нашли в доме главы администрации. Важного папашу снять с должности не удалось, но на следующий срок его уже не выбрали. А жители поселка облегченно вздохнули, когда узнали, что пакостей от отморозка-сынульки больше ждать не нужно.    Анну Семеновну в очередной раз откопали, вернули в руки крест, икону и с почестями упокоили.    После страшной ночи на кладбище Сергей с Дмитрием сдружились. Участковый начал интересоваться эзотерикой и часто приходил за консультацией в сторожку.    Сергей на его вопросы только смеялся и предлагал сходить за советом к покойной теще. Сам он делать ночные обходы больше не боялся. Ведь мама обещала за ним присматривать.  Автор: Шпаргалка по миру;23;1;0;1249;;МАГИЯ РАССКАЗОВ;29659
