ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-49684148_5152184;https://vk.com/club49684148?w=wall-49684148_5152184;https://vk.com/club49684148;https://vk.com/club49684148;2024-04-27 10:00;"28-29 апреля фестиваль хендмейда и дизайна [https://vk.com/evnthandmade|“Петербургская ярмарка”] возвращается в самое сердце Петербурга - пространство Freedom на Казанской, c уютным камерным фестивалем.    Среди участников - локальные проекты и дизайнеры, мастера разных направлений из Петербурга и других уголков страны.    На фестивале можно будет найти изделия ручной работы, подарки на любой случай, керамику, декор для дома, детские товары, дизайнерскую одежду, украшения, натуральную косметику, книги, винил, натуральные продукты и деликатесы.    Все это состоится на одной из самых атмосферных площадок Петербурга - в здании с дворцовыми интерьерами и историческими залами. Также в программе: DJ сеты и мастер-классы для взрослых и детей разных направлений.    • Когда: 28 - 29 апреля 12:00-21:00 (воскресенье и понедельник)  • Где: пространство Freedom, Казанская улица, д. 7 (6 минут от метро ""Невский проспект"")  • Вход для гостей: свободный    Возрастное ограничение: 0+";7;19;3;7584;;Санкт-Петербург Live;765776
https://vk.com/wall-45712009_465715;https://vk.com/club45712009?w=wall-45712009_465715;https://vk.com/club45712009;https://vk.com/club45712009;2024-04-27 10:03;erid 2SDnjcbtMYu  «Бережное и эффективное очищение зубных протезов»🤗   Поддержание чистоты зубных протезов является неотъемлемой частью гигиены полости рта. Используйте таблетки для очищения зубных протезов Dr.Dente каждый день, и Ваши протезы будут чистыми и свежими.    Система очистки 4 в 1 содержит 4 компонента, которые действуют сообща, помогая содержать протезы в чистоте.    ✅Таблетки для очищения зубных протезов Dr.Dente:  • уменьшают число бактерий, вызывающих неприятный запах изо рта  • удаляют налет и пятна, чтобы ваши протезы были свежими и чистыми  Реклама ООО«Крон»;14;0;1;914;;Аптека «Планета Здоровья»;150245
https://vk.com/wall11140984_1775;https://vk.com/id11140984?w=wall11140984_1775;https://vk.com/id11140984;https://vk.com/id11140984;2024-04-27 09:14;24.04 посетила МК талантливого грумера, заводчика (п-к Lenholl), эксперта и просто прекрасного человека,          🌟🌟 🌟Светланы Кизиной🌟🌟🌟  Подчеркнула много нового и интересного в груминге пуделя, проработала некоторые моменты в переходах и суперпродуктивно провела время! 🥂🫶💝  Спасибо за организацию  [id191684|Анна Шохман] (зоосалон Фокс) 🙏🙏  Модель ✨️Airy Arabeska Kilimanjaro✨️ (Pop Trick JP The Walking Dead x Maia Vivian  Astor Caito)   Модель подготовлена мной на [club212254296|Натуральная косметика ОГНЕЯР]  (Кератин пудель + крем для укладки) 🌹;51;1;0;872;;Алина Дрёмова;510
https://vk.com/wall-42151120_62599;https://vk.com/club42151120?w=wall-42151120_62599;https://vk.com/club42151120;https://vk.com/club42151120;2024-04-27 04:57;"☀️🕊 Привет, Челябинск! Прекрасную рабочую субботу встречаем вместе с шоу УТРО НА ОЛИМПЕ💫  И влетаем в долгожданные выходные!  ❓ Назовите три обязательных составляющих майских праздников! 😉   🎁 Пишите в комментариях👇🏻 или на WhatsApp +7(351) 220 12 05 и выигрывайте сертификат в магазин натуральной косметики из Сочи ""Мацеста""🌸 Победителя определим в эфире на 104.5 FM!  #УТРОнаОЛИМПЕ #утреннеешоу #Челябинск  #розыгрышчелябинск #конкурсчелябинск";13;1;37;707;;Радио ОЛИМП 104.5 FM;8830
https://vk.com/wall118797116_15334;https://vk.com/id118797116?w=wall118797116_15334;https://vk.com/id118797116;https://vk.com/id118797116;2024-04-27 09:26;ЭТО знают не все …   - Орифлэйм строит свою репутацию на создании безопасной и надежной продукции. Которая не вредит окружающей среде и эффективна для потребителя  - Продукт делается и тестируется по строжайшим европейским стандартам  - Каждый продукт проходит тщательные тесты на безопасность  - В составе продукта натуральные экстракты и натуральные отшелушивающие частицы  - Без ГМО  - Продукт имеет «чистую этикетку» без синтетических красителей, минеральных масел, сульфатов, отдушек, талька и спирта  - В институте исследования кожи тестируются натуральные ингредиенты и  биоактивные экстракты растений. А также разрабатываются инновационные косметические технологии  - Основа продуктов этого бренда - качественное сырье. Компания выделяет особое внимание технологии стволовых клеток растений.  - Проводит исследования не только в Европе, но и Азии. Чтобы понять как стареют люди разных культур и создать «умные» продукты   Зачем я это все вам пишу?  Чтобы вы знали, какого качества продукт бренда Орифлэйм.   В компании десятки премий и наград. И это тоже подтверждение того, что это так!  Я как 7 летний пользователь уже попробовала очень многое и тоже могу оценить качество!   Бесспорно, сейчас мир косметики очень разнообразен. Но знаю одно, такого же качества продукт в розничный магазинах и маркетплэйсах стоит гораздо дороже из-за способа реализации продукта.   Приобретая продукт напрямую с заводы мы не платим посредникам. А значит экономим.  Сэкономленные деньги значит заработанные!   Друзья, делайте выгодные покупки. Пользуйтесь качественным продуктом и будьте красивы и счастливы!   Оставляю ссылку на открытие личного кабинета.   https://www.oriflame.ru/member-benefits?store=viktoriyayurevnataksanova  Просто открываете себе кабинет и имеете пожизненную выгоду!  Кстати, обязательных заказов нет 😉;32;0;2;630;;Виктория Таксанова;7285
https://vk.com/wall-142914432_6517200;https://vk.com/club142914432?w=wall-142914432_6517200;https://vk.com/club142914432;https://vk.com/club142914432;2024-04-27 10:54;Вопрос к парням Какие девушки вам нравятся? С какой бы встречались, женились, прожили всю жизнь в одном гнездышке и возможно бы завели детей? Какая идеальная для вас, как выглядит, что должна уметь и знать?) . . . Для примера опишу то, что мне нравится в моем парне: Мудрость, доброта, справедливость, концентрация, самоуважение, финанс.грамотность, честность, терпеливость, игривость, высокий эмоциональный интеллект, флегматичность, верность и умение управлять эмоциями и др...  Насчёт внешности мне сложно сказать, ибо у меня нет четких критериев, хоть он был бы великаном, хоть дворфом, НО: я обожаю, когда у парня волосы до/ниже плеч + очень привлекает уход за собой (типо интернет детокс и баня) и ОБЯЗАТЕЛЬНО должна быть ЧИСТОПЛОТНОСТЬ — принимать душ раз в день и полость рта 2 раза в день. Без этого для меня — никак, пошѣл нахыр;1;0;3;599;;СОВЕТОВ МНЕ;275796
https://vk.com/wall-181803451_31290;https://vk.com/club181803451?w=wall-181803451_31290;https://vk.com/club181803451;https://vk.com/club181803451;2024-04-27 08:00;✅💥💥Набор бамбуковых зубных щеток 10 штук🔥 ✅👥Линия 8 Павильон 24  ✅✅Тел. и WhatsApp: 89808892964  ✅Цена: 75р  Зубная щетка с мягкой антибактериальной щетиной подходит для ежедневного ухода за полостью рта. При повышенной чувствительности десен и склонности к образованию зубного камня набор гарантирует максимальную пользу и безопасность.  🔥Ворсинки с коническими кончиками проникают в самые отдаленные уголки. Они бережно очищают промежутки между зубами, удаляют частицы пищи и образующийся налет, уменьшают опасность зубного камня.  🔥Закругленные ворсины исключают повреждение десен, аккуратно массируют, улучшая кровообращение тканей, повышая их тонус и предупреждая заболевания полости рта. 🔥Способ применения: На влажную щетку нанести зубную пасту, почистить зубы в течение 2-3 минут и хорошо прополоскать рот.;0;2;1;565;;1000 мелочей (Садовод 8-24);46826
https://vk.com/wall519045816_2454;https://vk.com/id519045816?w=wall519045816_2454;https://vk.com/id519045816;https://vk.com/id519045816;2024-04-27 08:17;Хочу продавать свой продукт, но без своего лица ‼️  #кейс_рязанцева_бизнес_наставник   Этот кейс поможет вам понять, почему в 2024 году практически НЕВОЗМОЖНО продавать без участия лица, почти в прямом смысле слова🚫  Точка А. Девушка пришла с запросом, понять как дальше развиваться в своем деле, но не выходить лицом к аудитории, так как она работает в структуре, где мягко скажем не приветствуют такие вещи.  Итак, она развивает свой бренд натуральной косметики и БАДов, понимает, что продукт действительно классный, уникальный, эффект от данной продукции - шикарный, отзывы только положительные. Но вот, как застряла клиентка на одной точке, так и не знает куда ей двигаться дальше.   Первое что я рекомендовала, написать сочинение. Что? 😳 Сочинение? Именно так. В этом сочинении необходимо расписать максимально подробно свою идеальную картинку развития вашего дела. Именно до мелочей: мой продукт рекламируют в СМИ, я имею свой собственный магазин, я получаю ежемесячный доход такой-то, в это время я делегировала все дела и больше отдыхаю, и тд.   Второе что я рассказала, что на сегодняшний момент продает ЛИЧНЫЙ БРЕНД. Как бы не хотелось выходить в свет и рекламировать свой продукт, как бы не хотелось вести  социальную сеть, делать это просто необходимо. Почему? Потому что покупают не продукт, а продукт именно у вас- у личности! Как у личности со схожими ценностями с одинаковыми взглядами на жизнь.   Как это работает? ⤵️  Например, мы все знаем представителя той или иной сетевой компании. Часто в городе есть даже магазин с данной продукцией. Но почему же тогда люди покупают у знакомых, у людей из соцсети? А все просто, потому что у Маши есть ребенок 3 лет и она рассказывает о своем материнстве, между делом рассказывая о крутом продукте. Или же у Ани есть дача и грядки, а любителей грядок много, а значит эти любители грядок ПОВЕРЯТ Ане и купят именно у нее.   Надеюсь максимально понятно объяснила ☺️  Третье задание. Расписать по шагам на ближайший год в какую сторону развиваться. И каждый день делать хотя бы один шаг. Пусть это будет созвон с подрядчиком, пусть это будет пост в соцсеть. На каждый день делать хотя бы одно действие, которое приблизит вас к вашей цели.   Точка Б. Девушка ушла с полным списком заданий, индивидуально подобранных для нее. И я уверена, что у нее все получится.  А как вы считаете, личный бренд или лучше оставаться в тени ?👇🏻;16;0;2;532;;Екатерина Рязанцева;3541
https://vk.com/wall-188062775_11889;https://vk.com/club188062775?w=wall-188062775_11889;https://vk.com/club188062775;https://vk.com/club188062775;2024-04-27 00:45;УРА УРА СНОВА В НАЛИЧИИ  И ПО СУПЕР ЦЕНЕ ♨️OREGINAL  Spray - Спрей  для депиляции 150 мл  ✅Цена 150 Рублей   💃 Woman Beauty Spray  – это специальный спрей для депиляции волос. При распылении на кожу образует густую пену, активные вещества которой растворяют нежелательные волоски. Спрей действует не только на поверхности, но проникает в волосяной фолликул и замедляет процесс роста новых волос. В его состав вошли натуральные экстракты, бережно воздействующие на кожу и предотвращающие появление раздражения. Спрей отлично справляется с нежелательным волосяным покровом, а также ухаживает за кожей и делает ее невероятно гладкой и нежной. Спрей можно использовать для удаления волос на ногах, руках, в зоне подмышечной впадины, а также в зоне бикини. Наша компания реализует косметику и аксессуары для нее, парфюмерию, средства по уходу за телом и волосами, товары для сада и дома. Мы сотрудничаем с именитыми брендами, которые заботятся о качестве своих продуктов и их влиянии на здоровье потребителей. Мы гарантируем, что заказывая товар у нас, вы получите оригинальную продукцию, созданную на основе натуральных ингредиентов и безопасных материалов.🏃‍♀️;1;3;1;473;;КОСМЕТИКА САДОВОД 13-114;23414
https://vk.com/wall-75468016_183249;https://vk.com/club75468016?w=wall-75468016_183249;https://vk.com/club75468016;https://vk.com/club75468016;2024-04-27 06:00;rid: 2VtzqvH9yZi    👋Милые девушки, женщины, а также мужчины, приглашаем Вас посетить отдел натуральной косметики МаНаКо!    Грамотный консультант подберет уход по типу и состоянию кожи.    👍Знакомство с косметикой через тестеры, миниатюры, саше, на разлив - чтобы точно не прогадать (не увеличивать количество неподходящих баночек).  ✔Подарочные сертификаты, скидка в день рождения 15%.  1⃣ВК https://vk.com/id46675831  2⃣Телеграм https://t.me/manako_kosmetik  Реклама  ИП Чуваев С.А  ИНН 246313618735;6;1;1;395;;Твой Канский (Лимон ТВ);35182
