ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-196360886_915253;https://vk.com/club196360886?w=wall-196360886_915253;https://vk.com/club196360886;https://vk.com/club196360886;2024-04-27 09:30;Анон. Дочке на днях 8 мес.  А я только сейчас, пообщавшись с другими мамами, поняла, что наверерно неправильно кормила 😭  я как то думала, что основное питание до 1 года это гв/ив, а прикорм это прикорм. Послушала, у всех в  7, 8 общий стол.  А я, к своему стыду, даже супы не ввела еще. Мясо тоже не ввела.   На завтрак каши без сахара молочные, днем пюрешки, на полдник творожок классический.  Печеньки детские, кусочки фруктов. В остальное время смесь.  Подскажите, что еще вводить?? И рецепты супчиков!  Можно ли сыр и какой, яйца?;5;3;41;4140;;Злая и уставшая мама;44159
https://vk.com/wall-222582979_8682;https://vk.com/club222582979?w=wall-222582979_8682;https://vk.com/club222582979;https://vk.com/club222582979;2024-04-27 09:00;Судьба жестоко поглумилась над Сергеем. (Вторая часть)  Начало https://vk.com/wall-222582979_8611  Второй «приведенька», поняв, что его убежище раскрыто, выскочил из-за большого гранитного памятника и побежал, петляя между могил. Сергей быстро ковылял следом. Второй зеленый юркнул за густую черемуху и исчез… С другой стороны, не выскочил.    Сергей несколько раз обошел вокруг дерева, и на крону фонариком от телефона светил. Шустрый призрак словно сквозь землю провалился.    — А-у-у-у, — раздался вдалеке все тот же вой.    Сергей как мог пригнулся, и прячась за надгробиями двинулся на звук. Впереди замелькало зеленое свечение и вновь погасло. Почти два часа сторож словно собачка гонялся за зелеными «призраками», но когда он был почти рядом, свечение исчезало.    Периодически возникало желание позвонить напарнику или знакомому участковому, но было стыдно в первое же дежурство показать свою слабость перед хулиганами, вымазавшимися фосфором.    Уже минут двадцать Сергей сидел рядом с центральной аллеей, прячась в тени сирени. Ему хорошо была видна дорога и развилка, света почти выросшей луны вполне хватало. Где-то у реки снова раздался вой. Сторож остался сидеть. Он уже понял, что те двое его водят по территории старого кладбища, а раз один далеко, то второй должен быть рядом, чтобы шуметь, когда сторож доберется до реки.    Вдруг совсем рядом раздался треск веток под ногами. Светящийся прошел в паре метров от Сергея и встал на развилке, в том месте, где умер Степаныч. «Призрак» пооглядывался, достал сигареты и закурил. В свете огня зажигалки Сергей увидел вполне молодое человеческое лицо.    Со стороны нового кладбища к светящемуся подошел седой мужчина в черном костюме и похлопал по плечу. «Призрак» обернулся и попятился. Из руки выпала сигарета. Седой обхватил молодого руками и сказал:    — Я тебя догнал.    Сергей вылез из-под дерева, еще не веря своим глазам, и хромая припустил к странной паре. Седой, по-прежнему сжимая зеленого в стальных объятиях, повернулся к с подбегающему сторожу, улыбнулся, подмигнул и растворился в воздухе вместе со своей жертвой.    — Степаныч, — заорал Сергей, — верни этого поганца. Я его полиции сдам!    Ответом была тишина. Охранник на всякий случай все обошел, подсвечивая себе фонариком, но ничего не нашел. От реки вновь раздался вой.    — Теперь этих дебилов от настоящих привидений спасать надо, — чертыхнулся Сергей и двинулся вглубь старого кладбища, по пути набирая номер участкового.    ***    Парни сидели в беседке большого ухоженного сада. Двое вопросительно смотрели на третьего, явно признавая в нем вожака.    — Антон, надо Коляна искать, — в который раз проговорил черноволосый крепкий парень. — Я реально за него волнуюсь. Мамаша его уже сто раз мне звонила.    — Да задрал ты со своим Коляном, — взъярился вожак, — он с кладбища свалил, тебя и нас бросил. А если бы сторож на новую часть приперся? Ты, Витек, как Коляна встретишь, втащи ему в рыло за дезертирство.    — Главное, что все сделать успели, — подал голос третий, белобрысый парень, который за последние полчаса успел ополовинить бутылку коньяка.    Он не сводил глаз с пакета, который держал на коленях Антон. Там лежало сокровище, которое сделает их богатыми.    — Санек, ты завязывай с утра бухать, — скомандовал вожак, — а то спьяну проболтаешься кому-нибудь.    — Ты че, Тоха? Я — могила!    — Ага, — заржал Антон, — сегодня ночью могила копался в могиле!    — Тихо, ты, — зашикал Санек, — вдруг твой батя услышит.    — И че? Мы здесь сила! Мы здесь власть!    Витек глядел на самоуверенного вожака и наконец отважился спросить:    — Тоха, а ты знаешь кто новый кладбищенский сторож?    — Кто?    — Тот мудозвон из ЧОПа, которому ты осенью ногу прострелил.    — Опаньки, — восторженно потер руки мажор, — значит сегодня ночью пойдем ему мстить за то, что он в тебя из травмата стрелял. И прострелим ему вторую коленку, только из настоящего.    Хохот отморозков было слышно далеко за пределами участка главы поселковой администрации.    ***    Рассвет застал на кладбище пеструю компанию. Возле раскопанной могилы Анны Семеновны стояли Сергей, Андрей и участковый Дмитрий.    — Получается, пока я на старом участке тех двоих гонял, остальные тут старушку обворовывали, — сетовал Сергей.    Венки были разбросаны по сторонам и засыпаны землей. Рядом с новеньким деревянным крестом валялась крышка гроба. Сама Анна Семеновна лежала в своем последнем прибежище, присыпанная комьями земли. На груди, на синем платье, отпечатался рельефный след кроссовка. Словно кто-то наступил старушке на грудь и что-то выдергивал из мертвых пальцев. Лица покойной не было видно. Вандалы швырнули на него букет сирени, который стоял в вазе рядом с могилой.    — А что у нее ценного в гробу было? — спросил участковый.    — Это надо у ее подружек спрашивать. Их Вадим знает, — ответил Сергей. — А что на счет Степаныча?    — Так он на месте, его не раскопали, — удивился вопросу Дмитрий.    — Я сам видел, как он парня схватил и в воздухе с ним растворился!    — Серый, у тебя было первое дежурство, — заговорил Андрей, — я понимаю, место тут впечатляющее, но тебе показалось. Ты обезболивающие какие-нибудь принимаешь?    — Нет. И глюками не страдаю.    — Давайте сделаем так, — сказал участковый, — если придет заявление на пропажу молодого мужчины, то возьмем его вещь и прочешем кладбище с собакой. Если ничего не найдем, сделаем запрос на эксгумацию Степаныча. Только причину надо приличную придумать — приведение к протоколу не пришьешь.    Обсудив еще некоторые детали, мужчины привели в порядок могилу Анны Семеновны и разошлись по своим рабочим делам.    Участковый выяснил, что в могилу старушке положили ее семейную реликвию — деревянную икону XVI века. Дочка Анны Семеновны верующей не была, но мать любила, и потому последнюю волю усопшей исполнила беспрекословно: положила в гроб икону богородицы и большой золотой крест. Прадед старушки был священником, еще до революции.    Дальше в семье священные реликвии передавать было некому, внуков у Анны Семеновны не было, а дочь жила обеспеченно. Про то, что такие сокровища положат в гроб, секрета никто не делал. Теперь икона и крест исчезли. Фото реликвий были разосланы во все ломбарды и ювелирные лавки области. Одна икона стоила почти миллион рублей…    Сергей обошел кладбище, но больше существенных повреждений не нашел. Только где они с «приведеньками» в догонялки бегали, венки поправил.    За день ничего необычного и страшного не произошло. В обед пришла жена, принесла борщ в большом термосе и котлеты на ужин. Про ночные приключения Сергей ей ничего не сказал, пугать не хотел.    К его удивлению, в десятом часу вечера в сторожку пришла целая делегация: бывший коллега Андрей, напарник Вадим и участковый Дмитрий.    — Мы решили тебе ночью компанию составить, — пояснил Андрей, — уж очень красочно ты прошлую смену описал. А в адекватности твоих мозгов я не сомневаюсь.    — А еще мы дистанционную камеру видеонаблюдения взяли и две фотоловушки, — похвастался Вадим. — Сейчас установим в самых интересных местах.    — А где у вас ночью на кладбище самые интересные? — с усмешкой поинтересовался участковый.    — На развилке, — начал перечислять Сергей, — участок Анны Семеновны и Степаныча, и еще вид от крыльца сторожки.    — Тогда приступаем к операции «Зомби», — подвел итог Андрей. — всем разойтись для установки техники.    Позже мужчины вновь собрались в сторожке. Хотя Анну Семеновну уже обокрали, но Андрей и участковый настаивали на том, что «преступник всегда возвращается на место преступления». Тем более если они виновны в смерти Степаныча, то захотят извести нового сторожа за стрельбу.    Мужчины пили чай и резались в подкидного дурачка. Тихонько бормотал телевизор на тумбочке. Шел второй час ночи. Вдруг с улицы раздался свист, на окне всколыхнулась занавеска и в комнату влетела бутылка с горящей тряпкой, торчащей из горлышка.    — Вот, суки, — выругался Вадим, схватил стоящий в углу огнетушитель и залил пеной сразу половину сторожки.    — Я смотрю, они серьезно настроились, — сказал Дмитрий. — Это уже покушение на убийство. Выходим.    Первым на крыльцо вышел Сергей. За надгробиями стояли три светящиеся зеленью фигуры. Вдруг раздался выстрел, дверной косяк брызнул снопом щепок. Сторож пригнулся и скатился со ступенек. Мужчины выскочили на крыльцо, доставая оружие. Вадим и Сергей пневматику, а Андрей и Дмитрий боевые пистолеты, положенные по должности.    Увидев такой перевес противников, «призраки» рванули вглубь старого погоста.    — Саня, Витек, вы бегите к реке, — начал отдавать на бегу распоряжения Антон, — вплавь уходите. Я через новый участок уйду.    — Тоха, мне страшно, — заныл, задыхаясь от бега Саня, — нас поймают.    — Батя отмажет, — прорычал мажор. — Расход.    Антон резко рванул в сторону, на ходу переворачивая фосфорную накидку черной стороной наружу, чтобы растворится в темноте. Нырнув под раскидистую черемуху, он затаился. Топот погони уходил в сторону реки.    Дмитрий заметил, что один из троицы отделился от остальных и исчез. Он схватил Сергея за рукав и остановил. Обернувшемуся Андрею участковый махнул в сторону реки, и ЧОПовец с Вадимом продолжили погоню за двумя светящимися.    Дмитрий с Сергеем стояли не двигаясь.    — Третий тут, рядом, — прошептал участковый, — тоже затаился. Ждем.    Пару минут было тихо, потом со стороны реки раздался негромкий выстрел — пневматика Вадима.    Под раскидистой цветущей черемухой раздался треск веток. Могильный вор выбирался из своего укрытия. Темная тень двигалась к центральной аллее. Мужчины начали красться следом. Под ногой Сергея хрустнула старая шишка, тень оглянулась и припустила к развилке.    — Стой, стрелять буду, — крикнул Дмитрий и сделал предупредительный в воздух.    Тень замерла и обернулась. Почти полная луна осветила драгоценного сынульку главы администрации. Он поднял свой пистолет и направил его на Сергея.    — Зря я тебя, гнида ментовская, осенью насмерть не пристрелил. Хана тебе…    Не успел поганец договорить своей угрозы, как за его спиной наметилось движение и от сильного удара по голове мажорик завалился набок. Пистолет выпал из его ослабевшей руки. Над ним, уперев руки в бока, стояла полупрозрачная женщина в голубом брючном костюме, с пышной седой прической. Сергей оторопело вытаращился на приведение.    — Мама, — прошептал он.    Покойная теща выставила вперед руку, как бы запрещая мужчинам приближаться к ней и лежащему Антону. Со стороны нового кладбища показался еще один человек… Не человек — призрак. Анна Семеновна шла в грязном синем платье, с отпечатком обуви на груди. В руке она несла ветку сирени, толщиной в палец.    Подойдя к лежащему Антону, который со страху уже намочил штаны, она наклонилась над ним и проговорила:    — Ты мне цветы на лицо швырнул, а это твой букет!    Старушка размахнулась и воткнула свою ветку в глаз мажора. Глубоко. Насмерть.    Теща посмотрела на Сергея, опустила руку и сказала:    — Ты здесь в безопасности, сынок. Спокойно работай.    После этих слов обе женщины растворились в воздухе, а с Сергея словно спало оцепенение. Он обернулся, чтобы спросить участкового, видел ли он все своими глазами, но Дмитрий лежал в глубоком обмороке.    ***    Приехавший наряд полиции несколько часов осматривали место гибели Антона.    Следователь, которого давно прикормил глава поселка, не верил в хулиганство и несчастный случай, приведший к гибели «такого хорошего мальчика, как Антоша».    Сергей с Дмитрием просмотрели запись с фотоловушки, которая снимала развилку, еще до приезда полиции. На экране четко было видно, что Антон шел по дороге, потом подошел к сирени, отломал ветку и со всего маха воткнул ее себе в глаз. Отец поганца бесновался, при таких доказательствах обвинять было некого.    Саню и Витька привели со стороны реки. Они добежали до берега, но в холодную весеннюю воду лезть побоялись. Там их Вадим с Андреем и скрутили. Кольку объявили в розыск. Через несколько дней парни признались, что это Колян ночью у развилки напугал старого охранника. Под предлогом того, что хулиганы убрали подельника и прикопали его в свежей могиле, чтобы не делить добычу на четверых, был выписан ордер на эксгумацию Степаныча.    Когда раскопали и вскрыли гроб, Степаныч спокойно лежал на своем месте, скрестив руки на груди. А тело Кольки нашли под самим гробом. Улик, доказывающих, что это друзья его убили и закопали не было. Причиной смерти парня записали обширный инфаркт. В семнадцать-то лет. Как тело попало под гроб, осталось загадкой.    Икону и крест нашли в доме главы администрации. Важного папашу снять с должности не удалось, но на следующий срок его уже не выбрали. А жители поселка облегченно вздохнули, когда узнали, что пакостей от отморозка-сынульки больше ждать не нужно.    Анну Семеновну в очередной раз откопали, вернули в руки крест, икону и с почестями упокоили.    После страшной ночи на кладбище Сергей с Дмитрием сдружились. Участковый начал интересоваться эзотерикой и часто приходил за консультацией в сторожку.    Сергей на его вопросы только смеялся и предлагал сходить за советом к покойной теще. Сам он делать ночные обходы больше не боялся. Ведь мама обещала за ним присматривать.  Автор: Шпаргалка по миру;54;5;6;4126;;МАГИЯ РАССКАЗОВ;29665
https://vk.com/wall-112011819_1530976;https://vk.com/club112011819?w=wall-112011819_1530976;https://vk.com/club112011819;https://vk.com/club112011819;2024-04-27 06:12;Девочки подскажите  Это нормально что у ребенка зеленый кал  Было так с рождения, педиатр говорила что это норма кишечник наладится, и с прикормом все наладится  Прикорм начали в 4 месяца  Нам уже скоро почти 6 кал по прежнему зеленый  Иногда бывает желтоватый  В туалет ходит ежедневно  Педиатру говорила что кал не наладился что делать, на что мне был ответ к году все пройдет  Подскажите что делать доверять педиатру либо же обратится к какому то другому специалисту? Ребенку хорошо себя чувствует ничего не беспокоит Анонимно пожалуйста;5;1;8;3008;;Беременность;157032
https://vk.com/wall-81840381_3781306;https://vk.com/club81840381?w=wall-81840381_3781306;https://vk.com/club81840381;https://vk.com/club81840381;2024-04-27 00:25;#Кормление@podslyshanoyberemennih  1. Девочки! У кого какой рацион питания в 10-11 месяцев с учетом раннего подъема? Мы встаем в 6 утра, ложимся в ночь в 19:30, если у кого-то похожий режим расскажите как кормите малышей 🫶🏼 у нас либо так: 6:00 смесь, 10:00 завтрак, 14:00 обед, 17:00 ужин, 19:30 смесь, либо 6:00 смесь, 11:00 завтрак (потому что спит), 15:00 обед, и часам к 6 уже не даю полноценный ужин, а больше перекус (творог, фрукты, печенье) потому что в 19:30 уже смесь будет 🫣 и получается один прием пищи выпадает  2. Здравствуйте! Сейчас вводим прикорм. Вопрос по маслу растительному. Его давать просто одной порцией или смешивать с пюре?;1;2;4;1621;;Подслушано у беременных;113083
https://vk.com/wall-150079080_748976;https://vk.com/club150079080?w=wall-150079080_748976;https://vk.com/club150079080;https://vk.com/club150079080;2024-04-27 01:30;Сынок 10 месяцев 9 кг и 74 см И так у нас с 8 месяцев ,не меняется ничего  Все говорят ,что худенький ,хотя на последнем приёме у педиатра, медсестра сказала ,что выглядит нормально На гв и прикорм, уже даже кушаем со стола все хорошо Я понимаю, что стал активным ,везде ползает и что возможно вес не набирается, но рост то почему стоит на месте  Забыла спросить у педиатра ,может мне смесь вести до года ,переживаю очень ребёнок первый!;1;2;6;1482;;Подслушано у беременных и мам;58021
https://vk.com/wall-138898538_469943;https://vk.com/club138898538?w=wall-138898538_469943;https://vk.com/club138898538;https://vk.com/club138898538;2024-04-27 09:42;Здравствуйте, хотела бы узнать мамочки как вы относитесь к детским творожкам  , если даете то со скольки начали давать ?  И второй вопрос  С кого мяса начинать  давать прикорм ?  Я имею ввиду пюре в баночки;1;2;6;1201;;Мамочки;54385
https://vk.com/wall-127563417_57350;https://vk.com/club127563417?w=wall-127563417_57350;https://vk.com/club127563417;https://vk.com/club127563417;2024-04-27 09:30;"Ловля карася на фидер  Как правило, ловлю карася на фидер начинают несколько позже, чем, к примеру, на поплавочную удочку. Прежде всего, это связано с тем, что весной с прогревом неглубоких прибрежных участков водоема активизировавшийся карась перемещается на эти места в поисках корма. На глубине вода остается при этом еще довольно холодной, и карась держится там довольно редко, поэтому и ловля на донные снасти может оказаться малоэффективной. Зато в это время можно эффективно применять фидер при облове островков прошлогодней травы или камыша, растущих на мелководных участках водоема на значительном удалении от берега. Достать до этих мест поплавочной удочкой бывает весьма сложно, а вот карась там держится довольно часто.  С дальнейшим потеплением воды перед нерестом и через неделю-полторы после него карась активизируется по всей площади водоема, и его уже можно спокойно ловить на фидер в ямах, на бровках, на переходах с мелководных участков водоема на более глубокие места, вблизи зарослей травы и камыша. В течение всего лета клев довольно ровный, за исключением, пожалуй, периодов с длительной жарой или, наоборот, затяжными дождями.  При этом стоит учитывать тот немаловажный факт, что поведение карася на различных водоемах может кардинально различаться. Так, на одном известном мне пруду карась клюет независимо от погоды все лето, важно только знать часы активизации его клева, а вот на другом малейшее изменение направления ветра, скачок давления или температуры может привести к полному бесклевью. Кроме того, не следует забывать такие факты, как улучшение клева при некоторых изменениях погоды, например, после дождя в жаркий засушливый период, когда в водоем попадает большое количество кислорода.  С наступлением осени, после ""бабьего лета"", на многих водоемах интенсивность клева карася начинает постепенно снижаться, сходя на ""нет"" к первым заморозкам. При этом на некоторых водоемах карась спокойно продолжает клевать вплоть до перволедья.  По сути, фидер для ловли карася можно применять практически весь сезон открытой воды, важно лишь правильно подбирать водоем под каждый период ловли.  Что касается времени ловли, то наибольшую активность карась проявляет на утренней и вечерней зорьках. Не стоит сбрасывать со счетов ночную ловлю, тем более что фидером ловить ночью довольно удобно. Днем частота поклевок обычно ниже, чем в утренние и осенние часы, но, тем не менее, и в это время можно рассчитывать на хороший улов. В прошлом году в августе именно днем мне попался самый крупный карась в сезоне, и было это в районе часа дня.  Для ловли фидером, в принципе, подходят все водоемы, в которых обитает карась. Исключением являются лишь совсем маленькие прудики или старицы, где с фидером особенно-то и негде развернуться. На остальных водоемах, будь-то озеро, пруд, старица, карьер, лиман или река, фидер может легко дать фору любым другим снастям как по количеству, так и по качеству пойманной рыбы. Прежде всего, это связано с тем, что фидер намного расширяет зону ловли по дальности, а также позволяет облавливать придонный слой воды на большом удалении от берега. Ловля фидером в различных типах водоемов отличается не сильно, отдельно можно выделить лишь водоемы с большим слоем ила на дне - там необходимо применять другой тип оснасток, но об этом позже.  Основная задача рыболова на любом водоеме - найти места стоянок карася и правильно их прикормить. Как правило, карась держится вблизи различной растительности, находя там корм и скрываясь от хищников. Более мелкие особи придерживаются мелководных участков водоема, а особи покрупнее все же стараются кормиться на глубине. Кроме того, карась предпочитает илистое, рыхлое дно с большим количеством растительных остатков, в которых он как раз и находит корм.  Таким образом, имея перед собой эти факты, начнем поиск места на водоеме. В том случае, если на водоеме и по берегам практически нет никакой растительности, за исключением редких островков камыша, то лучше всего сосредоточиться на поиске различных изменений дна: ям, мелей, бровок, именно в районе них, скорее всего, и будет держаться основная часть обитающего в водоеме карася. Если же на водоеме присутствует растительность, то карась будет находиться именно рядом с ней. Еще лучше, если вблизи островков растительности будут и различные изменения донного рельефа, к примеру, бровка или яма.  Для ловли карася обычно я применяю фидер длиной 3,60 м с тестом до 45-60 г. Кормушки большего веса применяются довольно редко, в связи с тем, что в большинстве случаев на карасиных водоемах течение отсутствует, а излишний шум от падения тяжелой кормушки пугает карася. Более длинные удилища следует использовать только в случае необходимости дальнего заброса легкой оснастки, в том случае, если перспективное место находится на значительном удалении от берега. При ловле на ближних к берегу участках водоема, при облове недалеко расположенных островков водной растительности или камыша, можно применять легкие фидерные удилища с тестом до 15-30 г.  Все перечисленные удилища я комплектую катушками с задним фрикционом или с байтраннером. Для легких фидеров использую ""тысячники"", для более ""тяжелых"" - ""двухтысячники"". Байтраннер при ловле карася иногда необходим потому, что поклевки карася зачастую бывают довольно резкими и, если катушка не спустит достаточное количество лески, то карась запросто может сдернуть удилище с подставок.  Что касается лесок, то при ловле карася я использую монофильные лески: основную - диаметром 0,18-0,22 мм, поводок - 0,14-0,16 мм. Обычно их прочности вполне достаточно, чтобы побороться даже с хорошим экземпляром, используя, конечно, упругие свойства удилища и фрикцион катушки. Тонкая леска к тому же делает снасть более чувствительной и менее заметной, что приносит ощутимое увеличение количества поклевок. Что касается вершинок-сигнализаторов, то при ловле карася можно применять самые чувствительные, из имеющихся в комплектации вашего удилища.  Отдельный вопрос - оснастки. При ловле на достаточно плотном грунте я применяю либо оснастку с противозакручивателем, либо несимметричную петлю. И лишь на водоемах со значительным количеством ила на дне или чрезвычайно мягким грунтом (как, например, на торфяных карьерах) необходима оснастка - патерностер. Она позволит насадке не уйти в грунт следом за кормушкой или грузилом.  Собираются все три этих оснастки довольно легко. При оснастке с противозакручивателем основная леска продевается через трубочку-противозакручиватель, причем более длинный конец трубочки должен быть обращен в сторону поводка. Затем на леску надевают бусинку-стопор и привязывают вертлюжок с карабином. К карабину на противозакручивателе крепят кормушку или грузило, а к карабину, привязанному к леске, поводок.  Несимметричная петля вяжется тоже довольно просто. Берется отрезок лески и складывается таким образом, чтобы один конец был длиннее другого на 15-20 см. После этого на том конце, где образовалось закругление, вяжем петлю и еще один страховочный узелок. Затем на более длинный конец лески надеваем кормушку, а затем соединяем вместе кончики лески и вяжем еще одну петлю. За эту петлю оснастка крепится к основной леске, а к другой крепится поводок через застежку или способом ""петля в петлю"".  Что касается патерностера, то на основную леску надевается два жестко закрепленных стопора на расстоянии 30-50 см, а между ними надевается вертлюжок. На конец основной лески крепится вертлюжок с карабином для крепления поводка, а к вертлюжку, который находится между стопорами, крепится отрезок лески различной длины с кормушкой или грузилом на конце.  Кормушки применяю трех типов: закрытые пластиковые под живые компоненты (червя, опарыша, мотыля), под каши и пареные зерна - из мягкой сетки, а под прикормочные смеси - металлические сетчатые. При слабом острожном клеве кормушки из мягкой сетки меньше распугивают рыбу, а вот выползающие сквозь отверстия в пластиковых кормушках черви и опарыши еще больше возбуждают аппетит рыбы.  Выбор крючка зависит в большей степени от насадки и размеров обитающего в водоеме карася, и здесь можно руководствоваться общими правилами. В качестве насадок можно применять различных червей, опарыша, мотыля, тесто, манную болтушку, размятый хлеб (особенно карась любит черный), распаренные зерна, геркулес. Очень часто особенно эффективными оказываются различные варианты ""бутербродов"".  Из снаряжения для фидерной ловли карася понадобятся поводочница с запасом поводков с лесками различных диаметров и крючками различного типа, размера и цвета, комплект подставок под удилище, мягкое или жесткое ведро для замеса прикормки, рогатка для ее заброса, стульчик и экстрактор для извлечения крючка. Кроме того, довольно удобен специальный столик для насадок, который можно изготовить и самому.  Сам процесс ловли схож с ловлей на фидер других рыб: заброс, установка фидера на подставки параллельно урезу воды, ""регистрация"" поклевки, подсечка и вываживание. Спектр поклевок карася тоже весьма разнообразен: кончик фидера может мелко подергиваться, как при поклевках плотвы, или резко откатиться назад или уйти вперед. Во все эти моменты необходимо сразу подсекать, чтобы карась не успел почувствовать подвох и выплюнуть насадку.  Автор Александр Новиков ";9;8;0;937;;ВСЁ О РЫБАЛКЕ;82639
